NewNameID,Description,Parm.Code,Result.Type,Analysis.Type,Sample.Unit.Group,Sample.Unit,CAS
102467 - Plecoptera,"Common name: stoneflies, EMS Code(s): PLECOP, EMS Name(s): Plecoptera",PLECOP,Numeric,Biological,Count,,
102470 - Pteronarcyidae,"Common name: giant stoneflies, EMS Code(s): PTERON, EMS Name(s): Pteronarcyidae",PTERON,Numeric,Biological,Count,,
102471 - Pteronarcys,"Common name: none, EMS Code(s): PTECYS, EMS Name(s): Pteronarcys",PTECYS,Numeric,Biological,Count,,
102473 - Pteronarcys californica,"Common name: none, EMS Code(s): P.CALI, EMS Name(s): Pteronarcys californica",P.CALI,Numeric,Biological,Count,,
102478 - Pteronarcys dorsata,"Common name: none, EMS Code(s): P.DORS, EMS Name(s): Pteronarcys dorsata",P.DORS,Numeric,Biological,Count,,
102485 - Pteronarcella,"Common name: none, EMS Code(s): PTEELA, EMS Name(s): Pteronarcella",PTEELA,Numeric,Biological,Count,,
102488 - Peltoperlidae,"Common name: roachlike stoneflies, EMS Code(s): PELTOP, EMS Name(s): Peltoperlidae",PELTOP,Numeric,Biological,Count,,
102510 - Yoraperla,"Common name: none, EMS Code(s): YORAPE, EMS Name(s): Yoraperla",YORAPE,Numeric,Biological,Count,,
102512 - Yoraperla brevis,"Common name: none, EMS Code(s): Y.BREV, EMS Name(s): Yoraperla brevis",Y.BREV,Numeric,Biological,Count,,
102517 - Nemouridae,"Common name: spring stoneflies, EMS Code(s): NEMOUR, EMS Name(s): Nemouridae",NEMOUR,Numeric,Biological,Count,,
102519 - Taenionema,"Common name: none, EMS Code(s): TAENEM, EMS Name(s): Taenionema",TAENEM,Numeric,Biological,Count,,
102526 - Nemoura,"Common name: none, EMS Code(s): NEMOU, EMS Name(s): Nemoura",NEMOU,Numeric,Biological,Count,,
102540 - Amphinemura,"Common name: none, EMS Code(s): AMPHIN, EMS Name(s): Amphinemura",AMPHIN,Numeric,Biological,Count,,
102567 - Malenka,"Common name: none, EMS Code(s): MALENK, EMS Name(s): Malenka",MALENK,Numeric,Biological,Count,,
102591 - Zapada,"Common name: none, EMS Code(s): ZAPADA, ZORHAY, EMS Name(s): Zapada, Zapada oregonenesis/haysi","ZAPADA, ZORHAY",Numeric,Biological,Count,,
102594 - Zapada cinctipes,"Common name: none, EMS Code(s): Z.CINC, EMS Name(s): Zapada cinctipes",Z.CINC,Numeric,Biological,Count,,
102596 - Zapada columbiana,"Common name: none, EMS Code(s): Z.COLU, EMS Name(s): Zapada columbiana",Z.COLU,Numeric,Biological,Count,,
102601 - Zapada frigida,"Common name: none, EMS Code(s): Z.FRIG, EMS Name(s): Zapada frigida",Z.FRIG,Numeric,Biological,Count,,
102605 - Podmosta,"Common name: none, EMS Code(s): PODMOS, EMS Name(s): Podmosta",PODMOS,Numeric,Biological,Count,,
102614 - Visoka,"Common name: none, EMS Code(s): VISOKA, EMS Name(s): Visoka",VISOKA,Numeric,Biological,Count,,
102615 - Visoka cataractae,"Common name: none, EMS Code(s): V.CATA, EMS Name(s): Visoka cataractae",V.CATA,Numeric,Biological,Count,,
102622 - Ostrocerca,"Common name: none, EMS Code(s): OSTROC, EMS Name(s): Ostrocerca",OSTROC,Numeric,Biological,Count,,
102643 - Capniidae,"Common name: Snowflies, EMS Code(s): CAPNII, EMS Name(s): Capniidae",CAPNII,Numeric,Biological,Count,,
102688 - Capnia,"Common name: none, EMS Code(s): CAPNIA, EMS Name(s): Capnia",CAPNIA,Numeric,Biological,Count,,
102752 - Utacapnia,"Common name: none, EMS Code(s): UTACAP, EMS Name(s): Utacapnia",UTACAP,Numeric,Biological,Count,,
102763 - Bolshecapnia,"Common name: none, EMS Code(s): BOLSHE, EMS Name(s): Bolshecapnia",BOLSHE,Numeric,Biological,Count,,
102788 - Taeniopterygidae,"Common name: winter stoneflies, EMS Code(s): TAENIO, EMS Name(s): Taeniopterygidae",TAENIO,Numeric,Biological,Count,,
102798 - Taeniopteryx nivalis,"Common name: none, EMS Code(s): TAENIV, EMS Name(s): Taeniopteryx nivali",TAENIV,Numeric,Biological,Count,,
102804 - Paracapnia,"Common name: none, EMS Code(s): PARACA, EMS Name(s): Paracapnia",PARACA,Numeric,Biological,Count,,
102840 - Leuctridae,"Common name: rolled-winged stoneflies, EMS Code(s): LEUCTR, EMS Name(s): Leuctridae",LEUCTR,Numeric,Biological,Count,,
102842 - Despaxia augusta,"Common name: none, EMS Code(s): DESP.A, EMS Name(s): Despaxia augusta",DESP.A,Numeric,Biological,Count,,
102844 - Leuctra,"Common name: none, EMS Code(s): LEUCT, EMS Name(s): Leuctra",LEUCT,Numeric,Biological,Count,,
102887 - Paraleuctra,"Common name: none, EMS Code(s): PARAL, EMS Name(s): Paraleuctra",PARAL,Numeric,Biological,Count,,
102910 - Moselia infuscata,"Common name: none, EMS Code(s): M.INFU, EMS Name(s): Moselia infuscata",M.INFU,Numeric,Biological,Count,,
102913 - Systellognatha,"Common name: none, EMS Code(s): CHL/PE, EMS Name(s): Chloroperlidae/Perlodidae",CHL/PE,Numeric,Biological,Count,,
102914 - Perlidae,"Common name: common stoneflies, EMS Code(s): PERLID, EMS Name(s): Perlidae",PERLID,Numeric,Biological,Count,,
102930 - Claassenia,"Common name: none, EMS Code(s): CLAASS, CLASSE, EMS Name(s): Claassenia, Classenia","CLAASS, CLASSE",Numeric,Biological,Count,,
102932 - Claassenia sabulosa,"Common name: none, EMS Code(s): C.SABU, EMS Name(s): Claassenia sabulosa",C.SABU,Numeric,Biological,Count,,
102958 - Chloroperla,"Common name: none, EMS Code(s): CHLORP, EMS Name(s): Chloroperla",CHLORP,Numeric,Biological,Count,,
102971 - Hesperoperla,"Common name: none, EMS Code(s): HESPE, EMS Name(s): Hesperoperla",HESPE,Numeric,Biological,Count,,
102972 - Hesperoperla pacifica,"Common name: none, EMS Code(s): H.PACI, EMS Name(s): Hesperoperla pacifica",H.PACI,Numeric,Biological,Count,,
102975 - Agnetina,"Common name: none, EMS Code(s): PHASGA, PHEOTA, EMS Name(s): Phasganophora, Pheotanytarsus","PHASGA, PHEOTA",Numeric,Biological,Count,,
102985 - Calineuria,"Common name: none, EMS Code(s): CALINE, EMS Name(s): Calineuria",CALINE,Numeric,Biological,Count,,
102986 - Calineuria californica,"Common name: none, EMS Code(s): C.CALI, EMS Name(s): Calineuria californica",C.CALI,Numeric,Biological,Count,,
102994 - Perlodidae,"Common name: perlodid stoneflies, EMS Code(s): PERLOD, EMS Name(s): Perlodidae",PERLOD,Numeric,Biological,Count,,
102995 - Isoperla,"Common name: none, EMS Code(s): ISOPER, EMS Name(s): Isoperla",ISOPER,Numeric,Biological,Count,,
103070 - Isogenus,"Common name: none, EMS Code(s): ISONUS, EMS Name(s): Isogenus",ISONUS,Numeric,Biological,Count,,
103094 - Diura,"Common name: none, EMS Code(s): DIURA, EMS Name(s): Diura",DIURA,Numeric,Biological,Count,,
103096 - Diura knowltoni,"Common name: none, EMS Code(s): DIURAK, EMS Name(s): Diura knowltoni",DIURAK,Numeric,Biological,Count,,
103102 - Skwala,"Common name: none, EMS Code(s): SKWALA, EMS Name(s): Skwala",SKWALA,Numeric,Biological,Count,,
103110 - Megarcys,"Common name: none, EMS Code(s): MEGARC, EMS Name(s): Megarcys",MEGARC,Numeric,Biological,Count,,
103121 - Doroneuria,"Common name: none, EMS Code(s): DORONE, EMS Name(s): Doroneuria",DORONE,Numeric,Biological,Count,,
103123 - Doroneuria baumanni,"Common name: none, EMS Code(s): DORBAU, EMS Name(s): Doroneuria baumanni",DORBAU,Numeric,Biological,Count,,
103124 - Isogenoides,"Common name: none, EMS Code(s): ISOGEN, EMS Name(s): Isogenoides",ISOGEN,Numeric,Biological,Count,,
103137 - Cultus,"Common name: none, EMS Code(s): CULTUS, EMS Name(s): Cultus",CULTUS,Numeric,Biological,Count,,
103149 - Kogotus,"Common name: none, EMS Code(s): KOGOTU, EMS Name(s): Kogotus",KOGOTU,Numeric,Biological,Count,,
103171 - Frisonia,"Common name: none, EMS Code(s): FRISON, EMS Name(s): Frisonia",FRISON,Numeric,Biological,Count,,
103172 - Frisonia picticeps,"Common name: none, EMS Code(s): F.PICT, EMS Name(s): Frisonia picticeps",F.PICT,Numeric,Biological,Count,,
103184 - Osobenus yakimae,"Common name: none, EMS Code(s): O.YAKI, EMS Name(s): Osobenus yakimae",O.YAKI,Numeric,Biological,Count,,
103193 - Setvena,"Common name: none, EMS Code(s): SETVEN, EMS Name(s): Setvena",SETVEN,Numeric,Biological,Count,,
103195 - Setvena tibialis,"Common name: none, EMS Code(s): S.TIBI, EMS Name(s): Setvena tibialis",S.TIBI,Numeric,Biological,Count,,
1032 - Schizothrix,"Common name: none, EMS Code(s): SCHIZ, EMS Name(s): Schizothrix",SCHIZ,Numeric,Biological,Count,,
103202 - Chloroperlidae,"Common name: green stoneflies, EMS Code(s): CHLPE, EMS Name(s): Chloroperlidae",CHLPE,Numeric,Biological,Count,,
103223 - Alloperla fraterna,"Common name: none, EMS Code(s): A.FRAT, EMS Name(s): Alloperla fraterna",A.FRAT,Numeric,Biological,Count,,
103233 - Paraperla,"Common name: none, EMS Code(s): PARAPE, EMS Name(s): Paraperla",PARAPE,Numeric,Biological,Count,,
103236 - Kathroperla,"Common name: none, EMS Code(s): KATHRO, EMS Name(s): Kathroperla",KATHRO,Numeric,Biological,Count,,
103239 - Perlomyia,"Common name: none, EMS Code(s): PERLOM, EMS Name(s): Perlomyia",PERLOM,Numeric,Biological,Count,,
103254 - Suwallia,"Common name: none, EMS Code(s): SUWALL, NEAVIP, EMS Name(s): Suwallia, Neaviperla","SUWALL, NEAVIP",Numeric,Biological,Count,,
103260 - Haploperla,"Common name: none, EMS Code(s): HAPPER, EMS Name(s): Haploperla",HAPPER,Numeric,Biological,Count,,
103273 - Sweltsa,"Common name: none, EMS Code(s): SWELTS, SWELTC, S.COM, EMS Name(s): Sweltsa, Sweltsa complex","SWELTS, SWELTC, S.COM",Numeric,Biological,Count,,
103297 - Utaperla,"Common name: none, EMS Code(s): UTAPER, EMS Name(s): Utaperla",UTAPER,Numeric,Biological,Count,,
103305 - Plumiperla,"Common name: none, EMS Code(s): PLUMIP, EMS Name(s): Plumiperla",PLUMIP,Numeric,Biological,Count,,
10331 - Peridinium inconspicuum,"Common name: none, EMS Code(s): P.INCO, EMS Name(s): Peridinium inconspicuum",P.INCO,Numeric,Biological,Count,,
103348 - Thysanoptera,"Common name: thrips, EMS Code(s): THYSAN, EMS Name(s): Thysanoptera",THYSAN,Numeric,Biological,Count,,
10335 - Peridinium bipes,"Common name: none, EMS Code(s): P.BIPE, EMS Name(s): Peridinium bipes",P.BIPE,Numeric,Biological,Count,,
103359 - Hemiptera,"Common name: true bugs, EMS Code(s): HEMIPT, EMS Name(s): Hemiptera",HEMIPT,Numeric,Biological,Count,,
103364 - Corixidae,"Common name: water boatman, EMS Code(s): CORIXI, EMS Name(s): Corixidae",CORIXI,Numeric,Biological,Count,,
103369 - Sigara,"Common name: none, EMS Code(s): SIGARA, EMS Name(s): Sigara",SIGARA,Numeric,Biological,Count,,
103444 - Hesperocorixa,"Common name: none, EMS Code(s): HESCOR, EMS Name(s): Hesperocorixa",HESCOR,Numeric,Biological,Count,,
103801 - Gerridae,"Common name: water striders, EMS Code(s): GERRID, EMS Name(s): Gerridae",GERRID,Numeric,Biological,Count,,
103829 - Gerris,"Common name: none, EMS Code(s): GERRIS, EMS Name(s): Gerris",GERRIS,Numeric,Biological,Count,,
103953 - Mesoveliidae,"Common name: water treaders, EMS Code(s): MESOVE, EMS Name(s): Mesoveliidae",MESOVE,Numeric,Biological,Count,,
10397 - Ceratium,"Common name: none, EMS Code(s): CERATI, EMS Name(s): Ceratium",CERATI,Numeric,Biological,Count,,
104063 - Saldidae,"Common name: shore bugs, EMS Code(s): SALDID, EMS Name(s): Saldidae",SALDID,Numeric,Biological,Count,,
10411 - Ceratium hirundinella,"Common name: none, EMS Code(s): C.HIRU, EMS Name(s): Ceratium hirundinella",C.HIRU,Numeric,Biological,Count,,
1053 - Spirulina,"Common name: none, EMS Code(s): SPIRUL, EMS Name(s): Spirulina",SPIRUL,Numeric,Biological,Count,,
1053275 - Chyranda centralis,"Common name: none, EMS Code(s): C.CENT, EMS Name(s): Chyranda centralis",C.CENT,Numeric,Biological,Count,,
1059169 - Choanotaenia,"Common name: none, EMS Code(s): CHOANO, EMS Name(s): Choanoflagellate",CHOANO,Numeric,Biological,Count,,
10597 - Cryptophycophyta,"Common name: none, EMS Code(s): CRYPTO, EMS Name(s): Cryptophyta",CRYPTO,Numeric,Biological,Count,,
10599 - Cryptomonadales,"Common name: none, EMS Code(s): CRYPT, UID CR, EMS Name(s): Cryptomonadales, UID Cryptomonadales","CRYPT, UID CR",Numeric,Biological,Count,,
1060 - Spirulina princeps,"Common name: none, EMS Code(s): S.PRIN, EMS Name(s): Spirulina princeps",S.PRIN,Numeric,Biological,Count,,
10613 - Chroomonas,"Common name: none, EMS Code(s): CHROOM, EMS Name(s): Chroomonas",CHROOM,Numeric,Biological,Count,,
10635 - Cryptomonas,"Common name: none, EMS Code(s): CRYPMO, C.OV/E, EMS Name(s): Cryptomonas, Cryptomonas ovata/erosa","CRYPMO, C.OV/E",Numeric,Biological,Count,,
10646 - Cryptomonas ovata,"Common name: none, EMS Code(s): C.OVAT, EMS Name(s): Cryptomonas ovata",C.OVAT,Numeric,Biological,Count,,
10648 - Cryptomonas marssonii,"Common name: none, EMS Code(s): C.MARS, EMS Name(s): Cryptomonas marssonii",C.MARS,Numeric,Biological,Count,,
10663 - Rhodomonas,"Common name: none, EMS Code(s): RHODO, EMS Name(s): Rhodomonas",RHODO,Numeric,Biological,Count,,
10667 - Rhodomonas lacustris,"Common name: none, EMS Code(s): RHO.LA, EMS Name(s): Rhodomonas lacustris",RHO.LA,Numeric,Biological,Count,,
1069 - Symploca,"Common name: none, EMS Code(s): SYMPLO, EMS Name(s): Symploca",SYMPLO,Numeric,Biological,Count,,
1078 - Romeria,"Common name: none, EMS Code(s): ROMERI, EMS Name(s): Romeria",ROMERI,Numeric,Biological,Count,,
1087 - Stenopterobia,"Common name: none, EMS Code(s): STENOP, EMS Name(s): Stenopterobia",STENOP,Numeric,Biological,Count,,
1090 - Arthrospira,"Common name: none, EMS Code(s): ART.SP, EMS Name(s): Arthrospira sp.",ART.SP,Numeric,Biological,Count,,
109171 - Cicadellidae,"Common name: cicadellids, EMS Code(s): CICADE, EMS Name(s): Cicadellidae",CICADE,Numeric,Biological,Count,,
109191 - Aphididae,"Common name: aphids, EMS Code(s): AMPHID, APHIDI, EMS Name(s): Amphididae, Aphididae","AMPHID, APHIDI",Numeric,Biological,Count,,
109216 - Coleoptera,"Common name: beetles, EMS Code(s): COLEOU, COLEOP, EMS Name(s): Coleoptera UID, Coleoptera","COLEOU, COLEOP",Numeric,Biological,Count,,
109234 - Carabidae,"Common name: ground beetles, EMS Code(s): CARABI, EMS Name(s): Carabidae",CARABI,Numeric,Biological,Count,,
1097 - Borzia,"Common name: none, EMS Code(s): BORZI, EMS Name(s): Borzia",BORZI,Numeric,Biological,Count,,
1099 - Nostocaceae,"Common name: none, EMS Code(s): ANA/NO, EMS Name(s): Anabaena/Nostoc",ANA/NO,Numeric,Biological,Count,,
1100 - Anabaena,"Common name: none, EMS Code(s): ANABAE, A.SPHE, EMS Name(s): Anabaena, Anabaena spiroides/helicoidea","ANABAE, A.SPHE",Numeric,Biological,Count,,
1104 - Anabaena circinalis,"Common name: none, EMS Code(s): A.CIRC, EMS Name(s): Anabaena circinalis",A.CIRC,Numeric,Biological,Count,,
1107 - Anabaena affinis,"Common name: none, EMS Code(s): A.AFFI, EMS Name(s): Anabaena affinis",A.AFFI,Numeric,Biological,Count,,
1109 - Anabaena flosaquae,"Common name: none, EMS Code(s): A.FLOS, EMS Name(s): Anabaena flos-aquae",A.FLOS,Numeric,Biological,Count,,
1117 - Anabaena planctonica,"Common name: none, EMS Code(s): A.PLAN, EMS Name(s): Anabaena planctonica",A.PLAN,Numeric,Biological,Count,,
1118133 - Stygothrombiidae,"Common name: none, EMS Code(s): STYTHR, EMS Name(s): Stygothrombiidae",STYTHR,Numeric,Biological,Count,,
111858 - Haliplus,"Common name: none, EMS Code(s): HALIP, EMS Name(s): Haliplus",HALIP,Numeric,Biological,Count,,
1119 - Anabaena spiroides,"Common name: none, EMS Code(s): A.SPIR, EMS Name(s): Anabaena spiroides",A.SPIR,Numeric,Biological,Count,,
111920 - Apteraliplus,"Common name: none, EMS Code(s): APTERA, EMS Name(s): Apteraliplus",APTERA,Numeric,Biological,Count,,
111923 - Peltodytes,"Common name: none, EMS Code(s): PELTOD, EMS Name(s): Peltodytes",PELTOD,Numeric,Biological,Count,,
111947 - Brychius,"Common name: none, EMS Code(s): BRYCHI, EMS Name(s): Brychius",BRYCHI,Numeric,Biological,Count,,
111952 - Amphizoidae,"Common name: trout-stream beetles, EMS Code(s): AMPHIZ, EMS Name(s): Amphizoidae",AMPHIZ,Numeric,Biological,Count,,
111963 - Dytiscidae,"Common name: diving beetles, EMS Code(s): DYTISC, EMS Name(s): Dytiscidae",DYTISC,Numeric,Biological,Count,,
111966 - Agabus,"Common name: none, EMS Code(s): AGABUS, EMS Name(s): Agabus",AGABUS,Numeric,Biological,Count,,
112257 - Hydrovatus,"Common name: none, EMS Code(s): HYDVAT, EMS Name(s): Hydrovatus",HYDVAT,Numeric,Biological,Count,,
112314 - Oreodytes,"Common name: none, EMS Code(s): OREODY, EMS Name(s): Oreodytes",OREODY,Numeric,Biological,Count,,
112580 - Liodessus,"Common name: none, EMS Code(s): LIODES, EMS Name(s): Liodessus",LIODES,Numeric,Biological,Count,,
112653 - Gyrinidae,"Common name: whirligig beetles, EMS Code(s): GYRINI, EMS Name(s): Gyrinidae",GYRINI,Numeric,Biological,Count,,
112654 - Gyrinus,"Common name: none, EMS Code(s): GYRINU, EMS Name(s): Gyrinus",GYRINU,Numeric,Biological,Count,,
