NewNameID,Description,Parm.Code,Result.Type,Analysis.Type,Sample.Unit.Group,Sample.Unit,CAS
100258 - Sminthuridae,"Common name: none, EMS Code(s): SMINTH, EMS Name(s): Sminthuridae",SMINTH,Numeric,Biological,Count,,
10031 - Gymnodinium,"Common name: none, EMS Code(s): GYMNOD, EMS Name(s): Gymnodinium",GYMNOD,Numeric,Biological,Count,,
100376 - Sminthurus,"Common name: none, EMS Code(s): SMITHU, EMS Name(s): Smithuridae",SMITHU,Numeric,Biological,Count,,
100485 - Neelidae,"Common name: none, EMS Code(s): NEELID, EMS Name(s): Neelidae",NEELID,Numeric,Biological,Count,,
100502 - Ephemeroptera,"Common name: mayflies, EMS Code(s): EPHEME, EMS Name(s): Ephemeroptera",EPHEME,Numeric,Biological,Count,,
100504 - Heptageniidae,"Common name: none, EMS Code(s): EP/IRO, HEPTAG, EMS Name(s): Epeorus/Ironoides, Heptageniidae","EP/IRO, HEPTAG",Numeric,Biological,Count,,
100507 - Stenonema,"Common name: none, EMS Code(s): STENON, EMS Name(s): Stenonema",STENON,Numeric,Biological,Count,,
100557 - Cinygmula,"Common name: none, EMS Code(s): CINYGM, EMS Name(s): Cinygmula",CINYGM,Numeric,Biological,Count,,
100572 - Rhithrogena,"Common name: none, EMS Code(s): RHITHR, EMS Name(s): Rhithrogena",RHITHR,Numeric,Biological,Count,,
100598 - Cinygma,"Common name: none, EMS Code(s): CINYG, EMS Name(s): Cinygma",CINYG,Numeric,Biological,Count,,
100602 - Heptagenia,"Common name: none, EMS Code(s): HEPNIA, EMS Name(s): Heptagenia",HEPNIA,Numeric,Biological,Count,,
100626 - Epeorus,"Common name: none, EMS Code(s): EPEORU, EMS Name(s): Epeorus",EPEORU,Numeric,Biological,Count,,
100629 - Epeorus albertae,"Common name: none, EMS Code(s): E.ALBE, EMS Name(s): Epeorus albertae",E.ALBE,Numeric,Biological,Count,,
100632 - Epeorus deceptivus,"Common name: none, EMS Code(s): E.DECE, EMS Name(s): Epeorus deceptivus",E.DECE,Numeric,Biological,Count,,
100635 - Epeorus grandis,"Common name: none, EMS Code(s): E.GRAG, EMS Name(s): Epeorus grandis group",E.GRAG,Numeric,Biological,Count,,
100637 - Epeorus longimanus,"Common name: none, EMS Code(s): E.LONG, EMS Name(s): Epeorus longimanus",E.LONG,Numeric,Biological,Count,,
100666 - Ironodes,"Common name: none, EMS Code(s): IRONOD, EMS Name(s): Ironodes",IRONOD,Numeric,Biological,Count,,
100692 - Nixe,"Common name: none, EMS Code(s): NIXE, EMS Name(s): Nixe",NIXE,Numeric,Biological,Count,,
1007 - Phormidium ambiguum,"Common name: none, EMS Code(s): P.AMBI, EMS Name(s): Phormidium ambiguum",P.AMBI,Numeric,Biological,Count,,
100755 - Baetidae,"Common name: none, EMS Code(s): BAETID, EMS Name(s): Baetidae",BAETID,Numeric,Biological,Count,,
100800 - Baetis,"Common name: none, EMS Code(s): BAETIS, EMS Name(s): Baetis",BAETIS,Numeric,Biological,Count,,
100801 - Acentrella,"Common name: none, EMS Code(s): ACENTR, EMS Name(s): Acentrella",ACENTR,Numeric,Biological,Count,,
100817 - Baetis tricaudatus,"Common name: none, EMS Code(s): B.TRIC, BTRICG, EMS Name(s): Baetis tricaudatus, Baetis tricaudatus group","B.TRIC, BTRICG",Numeric,Biological,Count,,
100823 - Baetis bicaudatus,"Common name: none, EMS Code(s): B.BICA, BFUSCG, EMS Name(s): Baetis bicaudatus, Baetis fuscatus group","B.BICA, BFUSCG",Numeric,Biological,Count,,
100873 - Centroptilum,"Common name: none, EMS Code(s): CENPTI, EMS Name(s): Centroptilum",CENPTI,Numeric,Biological,Count,,
100908 - Callibaetis californicus,"Common name: none, EMS Code(s): CALL.C, EMS Name(s): Callibaetis californicus",CALL.C,Numeric,Biological,Count,,
100951 - Siphlonuridae,"Common name: none, EMS Code(s): SIPHLO, EMS Name(s): Siphlonuridae",SIPHLO,Numeric,Biological,Count,,
100982 - Parameletus,"Common name: none, EMS Code(s): PARAML, EMS Name(s): Parameletus",PARAML,Numeric,Biological,Count,,
100996 - Ameletus,"Common name: none, EMS Code(s): AMELET, A.A98, EMS Name(s): Ameletus, Ameletus sp.A98","AMELET, A.A98",Numeric,Biological,Count,,
101012 - Ameletus similior,"Common name: none, EMS Code(s): A.SIMI, EMS Name(s): Ameletus similior",A.SIMI,Numeric,Biological,Count,,
101074 - Ametropus,"Common name: none, EMS Code(s): AMETR, EMS Name(s): Ametropus",AMETR,Numeric,Biological,Count,,
101076 - Ametropus neavei,"Common name: none, EMS Code(s): AMET.N, EMS Name(s): Ametropus neavei",AMET.N,Numeric,Biological,Count,,
101095 - Leptophlebiidae,"Common name: none, EMS Code(s): LEPTOP, EMS Name(s): Leptophlebiidae",LEPTOP,Numeric,Biological,Count,,
101148 - Leptophlebia,"Common name: none, EMS Code(s): LEPBIA, EMS Name(s): Leptophlebia",LEPBIA,Numeric,Biological,Count,,
101187 - Paraleptophlebia,"Common name: none, EMS Code(s): PARALE, EMS Name(s): Paraleptophlebia",PARALE,Numeric,Biological,Count,,
101232 - Ephemerellidae,"Common name: none, EMS Code(s): EPHEM, EMS Name(s): Ephemerellidae",EPHEM,Numeric,Biological,Count,,
101233 - Ephemerella,"Common name: none, EMS Code(s): EPHE, EMS Name(s): Ephemerella",EPHE,Numeric,Biological,Count,,
101240 - Ephemerella infrequens,"Common name: none, EMS Code(s): E.INFR, EMS Name(s): Ephemerella infrequens",E.INFR,Numeric,Biological,Count,,
101244 - Ephemerella maculata,"Common name: none, EMS Code(s): E.MACU, EMS Name(s): Ephemerella maculata",E.MACU,Numeric,Biological,Count,,
101276 - Ephemerella excrucians,"Common name: none, EMS Code(s): E.EXCR, EMS Name(s): Ephemerella excrucians complex",E.EXCR,Numeric,Biological,Count,,
101338 - Attenella,"Common name: none, EMS Code(s): ATTENE, EMS Name(s): Attenella",ATTENE,Numeric,Biological,Count,,
101347 - Caudatella,"Common name: none, EMS Code(s): CAUDAT, EMS Name(s): Caudatella",CAUDAT,Numeric,Biological,Count,,
101365 - Drunella,"Common name: none, EMS Code(s): DRUNEL, D.CO/F, DRANGS, EMS Name(s): Drunella, Drunella coloradensis/flavilinea, Drunella grandis/spinifera group","DRUNEL, D.CO/F, DRANGS",Numeric,Biological,Count,,
101370 - Drunella grandis,"Common name: none, EMS Code(s): D.GRAN, DGRANG, EMS Name(s): Drunella grandis, Drunella grandis group","D.GRAN, DGRANG",Numeric,Biological,Count,,
101385 - Drunella spinifera,"Common name: none, EMS Code(s): D.SPIN, EMS Name(s): Drunella spinifera",D.SPIN,Numeric,Biological,Count,,
101389 - Drunella coloradensis,"Common name: none, EMS Code(s): DCOLOR, EMS Name(s): Drunella coloradensis",DCOLOR,Numeric,Biological,Count,,
101395 - Serratella,"Common name: none, EMS Code(s): SERRA, EMS Name(s): Serratella",SERRA,Numeric,Biological,Count,,
101404 - Tricorythidae,"Common name: none, EMS Code(s): TRICOR, EMS Name(s): Tricorythidae",TRICOR,Numeric,Biological,Count,,
101405 - Tricorythodes,"Common name: none, EMS Code(s): TRITHO, EMS Name(s): Tricorythodes",TRITHO,Numeric,Biological,Count,,
101419 - Tricorythodes explicatus,"Common name: none, EMS Code(s): T.MINU, EMS Name(s): Tricorythodes minutus",T.MINU,Numeric,Biological,Count,,
101478 - Caenis,"Common name: none, EMS Code(s): CAENIS, EMS Name(s): Caenis",CAENIS,Numeric,Biological,Count,,
101480 - Caenis amica,"Common name: none, EMS Code(s): CAENAM, EMS Name(s): Caenis amica",CAENAM,Numeric,Biological,Count,,
101530 - Ephemera simulans,"Common name: none, EMS Code(s): EPHE.S, EMS Name(s): Ephemera simulans",EPHE.S,Numeric,Biological,Count,,
101594 - Anisoptera,"Common name: dragonflies, EMS Code(s): ANISOP, EMS Name(s): Anisoptera",ANISOP,Numeric,Biological,Count,,
101596 - Aeshnidae,"Common name: darners, EMS Code(s): AESHNI, EMS Name(s): Aeshnidae",AESHNI,Numeric,Biological,Count,,
101603 - Aeshna,"Common name: none, EMS Code(s): AESHNA, EMS Name(s): Aeshna",AESHNA,Numeric,Biological,Count,,
101664 - Gomphidae,"Common name: clubtails, EMS Code(s): GOMPHI, EMS Name(s): Gomphidae",GOMPHI,Numeric,Biological,Count,,
101738 - Ophiogomphus,"Common name: none, EMS Code(s): OPHIOG, EMS Name(s): Ophiogomphus",OPHIOG,Numeric,Biological,Count,,
10174 - Glenodinium,"Common name: none, EMS Code(s): GLENOD, EMS Name(s): Glenodinium",GLENOD,Numeric,Biological,Count,,
101797 - Libellulidae,"Common name: Skimmers, EMS Code(s): LIBELL, EMS Name(s): Libellulidae",LIBELL,Numeric,Biological,Count,,
1020219 - Navicula pseudolanceolata,"Common name: none, EMS Code(s): N.PSUE, EMS Name(s): Navicula pseudolanceolata",N.PSUE,Numeric,Biological,Count,,
1020231 - Navicula trivialis,"Common name: none, EMS Code(s): N.TRIV, EMS Name(s): Navicula trivialis",N.TRIV,Numeric,Biological,Count,,
102026 - Cordulegastridae,"Common name: Spiketails, EMS Code(s): CORGAS, EMS Name(s): Cordulegastridae",CORGAS,Numeric,Biological,Count,,
102027 - Cordulegaster,"Common name: none, EMS Code(s): CORDUL, EMS Name(s): Cordulegaster",CORDUL,Numeric,Biological,Count,,
1021166 - Navicula pseudotuscula,"Common name: none, EMS Code(s): N.PSTU, EMS Name(s): Navicula pseudotuscula",N.PSTU,Numeric,Biological,Count,,
10212 - Peridinium,"Common name: none, EMS Code(s): PERID, EMS Name(s): Peridinium",PERID,Numeric,Biological,Count,,
102139 - Argia,"Common name: none, EMS Code(s): ARGIA, EMS Name(s): Argia",ARGIA,Numeric,Biological,Count,,
