"EA_Id","DDL_Id","DDL_customId","EA_customId"
"1652c9fc-5694-4b57-820f-68d2827fc337","4c3493b3-6300-49ec-9c3f-71fadeaa5e4a","Maximum","Observation Composite Stat"
"1652c9fc-5694-4b57-820f-68d2827fc337","74870d3e-4121-4c91-a533-cb572558e428","Mean","Observation Composite Stat"
"1652c9fc-5694-4b57-820f-68d2827fc337","a700705a-8340-444a-a953-e77c78d63923","Median","Observation Composite Stat"
"1652c9fc-5694-4b57-820f-68d2827fc337","e57c7874-d218-4171-a7f4-4ddf3fea7544","Minimum","Observation Composite Stat"
"65d94fac-aac5-498f-bc73-b63a322ce350","7b2eddac-0757-4339-baa5-d4ccce900135","1049 - UBC Fisheries Science Section","Sampling Agency"
"65d94fac-aac5-498f-bc73-b63a322ce350","972a5b83-d28c-47ad-a46f-4886aef7cd45","105 - Elkview Coal Corp. Central Lab","Sampling Agency"
"65d94fac-aac5-498f-bc73-b63a322ce350","025a9a16-c6c3-4d61-9d57-7ca15c00af88","1069 - Eco/Logic Environmental","Sampling Agency"
"65d94fac-aac5-498f-bc73-b63a322ce350","db7200ba-0caa-44f9-a8e5-ea410d4149fc","10 - E.V.S. Consultants Ltd.","Sampling Agency"
"65d94fac-aac5-498f-bc73-b63a322ce350","1d79c3f7-c524-4ed3-b7ca-fd43ac115590","1109 - Township of Langley","Sampling Agency"
"65d94fac-aac5-498f-bc73-b63a322ce350","147d2011-249c-4d8d-a4d8-bc49b8c795fe","1129 - Omineca-Peace, Fort St. John","Sampling Agency"
"65d94fac-aac5-498f-bc73-b63a322ce350","d0de7db6-4c5d-4dd2-923d-a6ed5d2fcc19","1189 - Ministry of Environment Lab","Sampling Agency"
"65d94fac-aac5-498f-bc73-b63a322ce350","55e7b5b7-639b-42df-adb5-30e1d8dffb2e","11 - Vancouver Island, Nanaimo","Sampling Agency"
"65d94fac-aac5-498f-bc73-b63a322ce350","5b189e54-9194-4ba0-b926-75881d0869bb","1229 - Bulkley Valley Research Centre","Sampling Agency"
"65d94fac-aac5-498f-bc73-b63a322ce350","c4fdcbdd-474e-406a-b216-30cd41e82709","123 - HydroQual Lab Ltd.","Sampling Agency"
"65d94fac-aac5-498f-bc73-b63a322ce350","46dc2406-3fd8-4005-a45a-04a720750187","1269 - Sona Resources Corp","Sampling Agency"
"65d94fac-aac5-498f-bc73-b63a322ce350","e09dbfa8-6ce2-4549-bfb8-a555d9e8311b","126 - Kamloops Waste Water Treatment Centre","Sampling Agency"
"65d94fac-aac5-498f-bc73-b63a322ce350","e6e47151-3ae1-498e-b3c1-2fac7d39a924","127 - Kelowna Pollution Control Centre","Sampling Agency"
"65d94fac-aac5-498f-bc73-b63a322ce350","2181d32c-d8af-4c58-8531-86c867e055f6","1309 - Metro Vancouver-Quality Control Laboratory","Sampling Agency"
"65d94fac-aac5-498f-bc73-b63a322ce350","f732b875-137b-45b6-8f28-e51c7d22a4a1","1349 - Associated Environmental Consultants Inc.","Sampling Agency"
"65d94fac-aac5-498f-bc73-b63a322ce350","6d1e797a-174d-4385-ac50-8308080e1467","134 - Methanex Corp.","Sampling Agency"
"65d94fac-aac5-498f-bc73-b63a322ce350","fdb1a05c-6a80-4543-85c8-2889083cb12d","135 - Nanaimo Water Pollution Control Centre","Sampling Agency"
"65d94fac-aac5-498f-bc73-b63a322ce350","64bdcd33-37dd-452c-9a1f-9b384ad9074c","1369 - Omineca-Peace, Prince George, FLNRO","Sampling Agency"
"65d94fac-aac5-498f-bc73-b63a322ce350","82c94b60-2a12-4824-bd64-60aa40a7f045","137 - Nickel Plate Mine - Assay Lab","Sampling Agency"
"65d94fac-aac5-498f-bc73-b63a322ce350","81ed1002-386c-401f-bb5f-3368fa56dfa0","1409 - Freshwater Fisheries","Sampling Agency"
"65d94fac-aac5-498f-bc73-b63a322ce350","27498008-e85f-468f-b085-fdb82dadea6f","1429 - GHD Limited","Sampling Agency"
"65d94fac-aac5-498f-bc73-b63a322ce350","1e4475f3-b854-4459-8cf3-60afe0e3f9ad","142 - Norwest Soil Research Inc.","Sampling Agency"
"65d94fac-aac5-498f-bc73-b63a322ce350","056c88aa-e4aa-410e-881d-8c64ed28dd28","143 - Petro-Canada - Port Moody Refinery","Sampling Agency"
