"Location ID","Name","Type","Comment","Country","State","County","Latitude","Longitude","Horizontal Datum","Horizontal Collection Method","Vertical Datum","Vertical Collection Method","Location Groups","Elevation","Elevation Unit","Standards","EA_Closed Date","EA_EMS When Created","EA_EMS When Updated","EA_EMS Who Created","EA_EMS Who Updated","EA_Established Date","EA_Well Tag ID"
"E100641","GREEN ISLAND ENERGY INC. GOLD RIVER (PA-17426) WAS FORMERLY PA-3201","Stack","COMMON STACK FOR TWO MODIFIED PULP MILL BOILERS  (POWER BOIER AND RECOVERY BOILER) TO BURN WOOD WASTE AND RDF FUEL  (FORMERLY BOWATER POWER BOILER STACK)","","","","49.683100","-126.1239","","1:50,000 scale map","","","3201; 17426","","","","","11/1/1996 10:43:54 AM","10/11/2011 10:43:02 AM","Created by  EMS from 10 Vancouver Island, Nanaimo","Updated by George Leu from 10 Vancouver Island, Nanaimo","8/28/1990",""
"E104274","PA-1644 MACKENZIE PULP AT REC. BOILER STACK","Stack","NOT AVAILABLE","","","","55.290600","-123.1608","","1:50,000 scale map","","","1644","","","","","11/1/1996 10:44:36 AM","7/18/2006 9:13:12 AM","Created by  EMS from 70 Omineca-Peace, Prince George","Updated by Lisa Barkowsky from 70 Omineca-Peace, Prince George","9/6/1990",""
"E105372","PE-293 O-I CANADA CORP GLASS MANUFACTURING PROCESS EFFLUENT","Irrigation Spray/Sludge","EFFLUENT SAMPLED AT PUMP HOUSE PRIOR TO SPRAY IRRIGATION 200 YD. SOUTH OF PLANT","","","","50.228300","-119.0881","","1:50,000 scale map","","","293","","","","","11/1/1996 10:44:43 AM","5/18/2006 8:59:04 AM","Created by  EMS from 80 Southern Region, Penticton","Updated by Gerri Huggins from 80 Southern Region, Penticton","9/21/1990",""
"E105373","PE -293 O-I CANADA CORP DOMESTIC EFFLUENT","Combined Sewer","","","","","50.228100","-119.0861","","1:50,000 scale map","","","293","","","","","11/1/1996 10:44:43 AM","5/18/2006 9:01:28 AM","Created by  EMS from 80 Southern Region, Penticton","Updated by Gerri Huggins from 80 Southern Region, Penticton","9/21/1990",""
"E105715","FIBERPLAST EXFILTRATION/EVAP. LAGOON","Infiltration Pond","SAMPLE OF EFFLUENT FROM HOLDING TANK - FLOW DET`M FROM EFFLUENT VOLUME HAVLED TO POND Comments: The characteristics of the effluent are not listed in the permit.","","","","50.054400","-119.3419","","1:50,000 scale map","","","4433","","","","","11/1/1996 10:44:50 AM","7/13/2017 1:41:41 PM","Created by  EMS from 80 Southern Region, Penticton","Updated by  EMS from 80 Southern Region, Penticton","9/17/1990",""
"E206695","DUNCAN RIVER ABOVE MEADOWCREEK CEDAR LTD (PR-7227)","River, Stream, or Creek","RIGHT HAND BANK AT END OF FARMER`S FIELD LOCATED IMMEDIATELY NORTH OF MEADOW CREEK CEDAR LTD PROPERTY.","","","","50.207500","-116.9514","","1:50,000 scale map","","","7227","","","","","11/1/1996 10:45:27 AM","7/13/2017 1:41:41 PM","Created by  EMS from 40 Kootenay, Nelson","Updated by  EMS from 40 Kootenay, Nelson","9/4/1990",""
"E208175","ROBERT BROWN PR-07765 DEMOLITION LANDFILL","Landfill"," Comments:   LOT 19,PLAN 62681 & E.1/","","","","49.148886","-122.973254","","","","","7765","","","","","11/1/1996 10:46:29 AM","2/7/2023 11:16:16 AM","Created by  EMS from 20 Lower Mainland, Surrey","Updated by  EMS from 20 Lower Mainland, Surrey","5/8/1990",""
"E208265","EGMONT FISH PLANT PE-7581 MAIN PROCESS EFFL","Outfall","OUTFALL","","","","49.755514","-123.933919","","","","","7581","","","","","11/1/1996 10:46:33 AM","2/7/2023 11:16:16 AM","Created by  EMS from 20 Lower Mainland, Surrey","Updated by  EMS from 20 Lower Mainland, Surrey","5/9/1990",""
"E208301","AIRPORT SITE","Landfill","N/A","","","","49.831900","-124.4918","","","","","5067","","","","","11/1/1996 10:46:35 AM","2/7/2023 11:16:16 AM","Created by  EMS from 20 Lower Mainland, Surrey","Updated by  EMS from 20 Lower Mainland, Surrey","5/10/1990",""
"E208315","POWELL RIVER MUNICIPAL INCINERATOR ASH","Landfill","N/A****  DISCHARGE AUTHORIZED UNTIL OCT 15, 1994  ****","","","","49.850990","-124.53136","","","","","509","","","","","11/1/1996 10:46:36 AM","2/7/2023 11:16:16 AM","Created by  EMS from 20 Lower Mainland, Surrey","Updated by  EMS from 20 Lower Mainland, Surrey","5/10/1990",""
"E208417","EOC HOLDINGS PR-2510 LANDFILL","Landfill","***** THE AUTHORIZATION TO DISCHARGE EXPIRED OCT 24, 1993 **** Comments:   PL: REF 63910, LD: 36, NEW WESTMINSTER, PCL 12, SEC 15, BLK5N, RGSW, REF PL63910","","","","49.200202","-123.054669","","","","","2510","","","","","11/1/1996 10:46:40 AM","2/7/2023 11:16:16 AM","Created by  EMS from 20 Lower Mainland, Surrey","Updated by  EMS from 20 Lower Mainland, Surrey","5/16/1990",""
"E208428","PR-7163 GRANET LAKE LOGGING - LANDFILL","Landfill"," Comments:   FACTORS FROM THE DISCUSSION PAPER, READY-MIX CONCRETE TRUCK WASHOUT WATER.","","","","49.791433","-124.345874","","","","","7163","","","","","11/1/1996 10:46:41 AM","2/7/2023 11:16:16 AM","Created by  EMS from 20 Lower Mainland, Surrey","Updated by  EMS from 20 Lower Mainland, Surrey","5/17/1990",""
"E208435","SILVER CREEK PREMIUM PROD (PA-5382) TWO CYCLONES","Stack","BURNER EXIT Comments:   LEGAL DESCRIPTION:  PARCEL C, SW 1/4 OF SEC. 19, TWP 17, ECM NWD,                     PLAN 5455.","","","","49.133700","-122.3598","","GOAT- orthoimagery (NAD83)","","","5382","","","","","11/1/1996 10:46:41 AM","5/1/2006 11:54:39 AM","Created by  EMS from 20 Lower Mainland, Surrey","Updated by SUSAN WOODBINE from 20 Lower Mainland, Surrey","5/17/1990",""
"E208572","LAFARGE CANADA PE-2516 TREATED STORM WATER 1.1","Ditch or Culvert"," Comments:   LEGAL DESCRIPTION:  260 METERS SOUTH, 50 METERS EAST OF THE NORTHWEST CORNER OF PARCEL 10 OF DISTRICT LOT 21, GROUP 1, NEW WESTMINSTER DISTR ICT, PLAN 44102","","","","49.222900","-122.8299","","GOAT- orthoimagery (NAD83)","","","2516","","","","","11/1/1996 10:46:49 AM","7/4/2007 11:23:14 AM","Created by  EMS from 20 Lower Mainland, Surrey","Updated by SUSAN WOODBINE from 20 Lower Mainland, Surrey","5/18/1990",""
