"Location ID","Name","Type","Comment","Country","State","County","Latitude","Longitude","Horizontal Datum","Horizontal Collection Method","Vertical Datum","Vertical Collection Method","Location Groups","Elevation","Elevation Unit","Standards","EA_Closed Date","EA_EMS When Created","EA_EMS When Updated","EA_EMS Who Created","EA_EMS Who Updated","EA_Established Date","EA_Well Tag ID"
"E338984","EV_DC1_CONSTRUCTION","River, Stream, or Creek","Replaces EV_DC1 during bypass period of Harmer Dam Sedimentation Pond","","","","49.789338","-114.785004","","Geographic Positioning System (NAD83)","","","425","1460","m","","","6/16/2025 2:24:21 PM","1/27/2026 1:17:04 PM","Created by Alex Trapp from 40 Kootenay, Nelson","Updated by  EMS from 40 Kootenay, Nelson","6/16/2025",""
"E340745","KSM(PE106824)WTP8","Outfall","Treated effluent discharge from WTP8 into Treaty Creek, PTMA region of the mine site","","","","56.579257","-129.855759","","Google Earth, Google Maps, or other Satellite Imagery","","","106814; 106824","","","","","1/16/2026 1:20:44 PM","","Created by Sarah Tyler from 60 Skeena","","1/16/2026",""
"E340746","KSM(PE106824)EWQSC1","Outfall","Effluent discharge from P8 Early Works Quarry Sediment Control Pond 1 into Unnamed Creek","","","","56.5295","-130.2772","","Google Earth, Google Maps, or other Satellite Imagery","","","106814; 106824","","","","","1/16/2026 1:25:17 PM","","Created by Sarah Tyler from 60 Skeena","","1/16/2026",""
"E340747","KSM(PE106824)EWQSC2","Outfall","Effluent discharge from P8 Early Works Quarry Sediment Control Pond 2 into Unnamed Creek","","","","56.5288","-130.2774","","Google Earth, Google Maps, or other Satellite Imagery","","","106814; 106824","","","","","1/16/2026 1:27:12 PM","","Created by Sarah Tyler from 60 Skeena","","1/16/2026",""
"E340748","KSM(PE106824)EWQSC3","Outfall","Effluent discharge from P8 Early Works Quarry Sediment Control Pond 3 into Unnamed Creek","","","","56.5285","-130.2774","","Google Earth, Google Maps, or other Satellite Imagery","","","106814; 106824","","","","","1/16/2026 1:28:33 PM","","Created by Sarah Tyler from 60 Skeena","","1/16/2026",""
"E340749","KSM(PE106824)EWQSC4","Outfall","Effluent discharge from P8 Early Works Quarry Sediment Control Pond 4 into Unnamed Creek","","","","56.5277","-130.2785","","Google Earth, Google Maps, or other Satellite Imagery","","","106814; 106824","","","","","1/16/2026 1:30:01 PM","","Created by Sarah Tyler from 60 Skeena","","1/16/2026",""
"E340750","KSM(PE106824)MC1A-US","River, Stream, or Creek","Environmental Monitoring Reference site MC1A-US in Mitchell Creek","","","","56.5297","-130.2422","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/16/2026 1:33:09 PM","","Created by Sarah Tyler from 60 Skeena","","1/16/2026",""
"E340751","KSM(PE106824)MC1B","River, Stream, or Creek","Environmental monitoring site Mc1B nearfield to WTP 6 in Mitchell Creek","","","","56.5214","-130.3175","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/16/2026 1:35:45 PM","","Created by Sarah Tyler from 60 Skeena","","1/16/2026",""
"E340752","KSM(PE106824)NTR2","River, Stream, or Creek","North Treaty Creek Reference NTR2","","","","56.586","-129.8546","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/16/2026 1:37:29 PM","","Created by Sarah Tyler from 60 Skeena","","1/16/2026",""
"E340753","KSM(PE106824)TRC2C","River, Stream, or Creek","100m Downstream of TWTP8 Discharge TRC2C","","","","56.5786","-129.855","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/16/2026 1:40:51 PM","","Created by Sarah Tyler from 60 Skeena","","1/16/2026",""
"E340754","KSM(PE106824)TRC2","River, Stream, or Creek","2km Downstream of TWTP8 Discharge TRC2","","","","56.5713","-129.8289","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/16/2026 1:42:18 PM","","Created by Sarah Tyler from 60 Skeena","","1/16/2026",""
"E340764","Two River 16-3 Temporary Sources","Stack","","","","","56.172276","-120.273325","","Geographic Positioning System (NAD83)","","","","","","","","1/22/2026 11:01:41 AM","","Created by Database Link for EMA from 71 Omineca Peace, Oil and Gas Commission","","1/22/2026",""
"E340784","City of Abbotsford (112754) Refuse","Landfill","","","","","49.065","-122.2974","","Google Earth, Google Maps, or other Satellite Imagery","","","112754","","","","","1/23/2026 11:41:33 AM","1/23/2026 1:02:17 PM","Created by Database Link for EMA from 10 Vancouver Island, Nanaimo","Updated by Database Link for EMA from 10 Vancouver Island, Nanaimo","1/23/2026",""
"E340785","City of Abbotsford (112754) Leachate from un-lined landfill","Landfill","","","","","49.065","-122.2974","","Google Earth, Google Maps, or other Satellite Imagery","","","112754","","","","","1/23/2026 11:53:00 AM","1/23/2026 1:20:05 PM","Created by Database Link for EMA from 10 Vancouver Island, Nanaimo","Updated by Database Link for EMA from 10 Vancouver Island, Nanaimo","1/23/2026",""
"E340786","City of Abbotsford (112754) Leachate from lined landfill","Landfill","","","","","49.063744","-122.295777","","Google Earth, Google Maps, or other Satellite Imagery","","","112754","","","","","1/23/2026 1:18:54 PM","1/23/2026 2:12:34 PM","Created by Database Link for EMA from 10 Vancouver Island, Nanaimo","Updated by Database Link for EMA from 10 Vancouver Island, Nanaimo","1/23/2026",""
"E340787","City of Abbotsford (112754) Landfill gas","Landfill","","","","","49.065","-122.2974","","Google Earth, Google Maps, or other Satellite Imagery","","","112754","","","","","1/23/2026 1:36:36 PM","","Created by Database Link for EMA from 10 Vancouver Island, Nanaimo","","1/23/2026",""
"E340788","City of Abbotsford (112754) Stornwater","Storm Sewer","","","","","49.065","-122.2974","","Google Earth, Google Maps, or other Satellite Imagery","","","112754","","","","","1/23/2026 1:44:51 PM","","Created by Database Link for EMA from 10 Vancouver Island, Nanaimo","","1/23/2026",""
"E340789","RE-112524 City of Kimberley WWTP Outfall","Outfall","","","","","49.6304","-115.9618","","Google Earth, Google Maps, or other Satellite Imagery","","","112524","","","","","1/23/2026 3:23:41 PM","","Created by Database Link for EMA from 10 Vancouver Island, Nanaimo","","1/23/2026",""
"E340790","ST.MARY RIVER UPSTREAM NORTH SIDE","River, Stream, or Creek","Upstream monitoring location, north side river, for RE-112524","","","","49.6303","-115.9626","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/23/2026 3:57:47 PM","1/23/2026 4:48:20 PM","Created by Kirsten White from 41 Kootenay, Cranbrook","Updated by Kirsten White from 41 Kootenay, Cranbrook","1/23/2026",""
"E340791","ST. MARY RIVER UPSTREAM SOUTH SIDE","River, Stream, or Creek","upstream monitoring location, side side river, for RE-112524","","","","49.6301","-115.963","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/23/2026 4:02:25 PM","1/23/2026 4:49:21 PM","Created by Kirsten White from 41 Kootenay, Cranbrook","Updated by Kirsten White from 41 Kootenay, Cranbrook","1/23/2026",""
"E340792","ST. MARY RIVER EDGE OF IDZ","River, Stream, or Creek","downstream edge of initial dilution zone for RE-112524","","","","49.6305","-115.961","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/23/2026 4:08:09 PM","","Created by Kirsten White from 41 Kootenay, Cranbrook","","1/23/2026",""
"E340793","MARK CREEK","River, Stream, or Creek","Immediately prior to confluence w. St. Mary River, monitoring location for RE-112524","","","","49.6308","-115.9607","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/23/2026 4:12:28 PM","","Created by Kirsten White from 41 Kootenay, Cranbrook","","1/23/2026",""
"E340794","ST. MARY RIVER DOWNSTREAM NORTH SHORELINE 280 M","River, Stream, or Creek","downstream monitoring location, north side of river, 280 m from outfall terminus for RE-112524","","","","49.6298","-115.9573","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/23/2026 4:22:36 PM","1/23/2026 4:44:04 PM","Created by Kirsten White from 41 Kootenay, Cranbrook","Updated by Kirsten White from 41 Kootenay, Cranbrook","1/23/2026",""
"E340795","ST. MARY RIVER DOWNSTREAM NORTH SHORELINE 340 M","River, Stream, or Creek","downstream monitoring location, north side of river, 340 m from outfall terminus for RE-112524","","","","49.6294","-115.9566","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/23/2026 4:30:36 PM","","Created by Kirsten White from 41 Kootenay, Cranbrook","","1/23/2026",""
"E340796","ST. MARY RIVER DOWNSTREAM NORTH SHORELINE 600 M","River, Stream, or Creek","downstream monitoring location, north side of river, 600 m from outfall terminus for RE-112524","","","","49.6276","-115.954","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/23/2026 4:33:29 PM","1/23/2026 4:40:12 PM","Created by Kirsten White from 41 Kootenay, Cranbrook","Updated by Kirsten White from 41 Kootenay, Cranbrook","1/23/2026",""
