"Code","Name"
"10","Vancouver Island, Nanaimo"
"60","Skeena"
"72","Omineca-Peace, Fort St. John"
"73","Omineca-Peace, Prince George, FLNRO"
"80","Southern Region, Penticton"
"90","Headquarters, Victoria"
"AE","Associated Environmental Consultants Inc"
"AEL","ANCOR ENVIRONMENTAL LTD."
"AEO","Associated Environmental Operators Inc."
"AGA","Agat Laboratories"
"AGR","Agra Earth & Environmental Ltd."
"ALA","Mark Lanfranco"
"ALC","Alcan Analytical Lab"
"ALK","ALS Environmental ? Kamloops"
"ALS","ALS Global"
"ANL","A & L Canada Laboratories"
"ASC","Ascent Services"
"ASL","ASL Analytical Service Laboratories Ltd."
"AT","AquaTox Testing & Consulting Inc."
"ATR","Aqua Technical Research Ltd"
"AXL","Axys Laboratories"
"BAL","Beak Associates (B.C.) Ltd."
"BCBC","BCBC"
"BCF","BC Conservation Foundation (BCCF)"
"BCR","B.C. Research Inc."
"BEL","Env Lab - Field entered"
"BIO","Biologica Environmental Services Ltd"
"BRK","Brooks Applied Labs"
"BRM","Mine Assay Lab"
"BV","Bulkley Valley Research Centre"
"BZN","Zenon Lab Inc. - Field entered"
"CAR","CARO Environmental Services"
"CAS","Cominco Analytical Services"
"CAV","Cavendish Analytical Lab Ltd."
"CBK","City of Cranbrook"
"CEI","Chemtrade Electrochem Inc."
"CGL","Chemical & Geological Lab. Inc"
"CHL","Chemex Labs. Ltd."
"CIN","Canadianoxy Industrial Chem. (Nanaimo)"
"CME","Chemac Environmental Services"
"COL","Core Laboratories Canada Ltd."
"COR","Cordillera Consulting"
"CPP","Cariboo Pulp & Paper Co."
"CRD","Capital Regional District"
"CRL","Canadian Resource Laboratories"
"CTL","Can-Test Ltd."
"CX","Corix Utilities - Panorama"
"DOL","Danusia Dolecki"
"EC","Environment Canada/Fisheries"
"ECC","Elkview Coal Corp. Central Lab"
"ECO","Econotec Services Ltd."
"EDGE","Edge Analytical Laboratories"
"ELE","Element Materials Technology (was Exova)"
"ENL","Environmental Laboratory"
"ENT","Enviro Test Laboratories"
"EPP","Eurocan Pulp and Paper Co. Main Lab"
"EPS","E.P.S. Bioassay Lab"
"EQF","Equis Field"
"EQL","Equis Environmental Lab"
"EQP","Equis Permittee"
"ETL","Eco-Tech Lab Ltd."
"EVE","Elk Valley Environmental Labs"
"EVS","E.V.S. Consultants Ltd."
"EXA","Exact Scientific Services"
"FDF","Federal - Field"
"FDL","Federal Laboratory"
"FE","Federal"
"FES","Fraser Environmental Services"
"FLD","Field (MOE)"
"FLNRO","Ministry of Forests, Lands and Natural"
"FN","Fort Nelson First Nations"
"FWF","Freshwater Fisheries"
"GES","Goode Environmental Services Ltd"
"GHD","GHD Limited"
"GML","Gibraltar Mines"
"HCL","HydroQual Lab Ltd."
"HGL","Higgins Laboratory"
"HLT","Health Lab"
"IGM","IG Micromed Environmental Inc."
"IRC","Integrated Resource Conslt.Inc"
"ISO","Isobrine Solutions Inc"
"JBL","JB Laboratories Ltd."
"JRL","JR Laboratories Inc."
"KAS","Kimberley Analytical Services"
"KEL","Keystone Environmental Ltd. (Burnaby)"
"KENTEM","K'en T'em Limited Partnership"
"KPC","Kelowna Pollution Control Centre"
"KR","Kemetco Research Inc."
"KWW","Kamloops Waste Water Treatment Centre"
"LAC","Larratt Aquatic Consulting Ltd."
"LAS","Levelton Analytical Services"
"LEL","Env Lab - Modified by Lab"
"LEPS","Langley Enviro. Partners Society"
"LFM","Lakefield Laboratories"
"MAC","Maxxam Analytics Calgary"
"MAX","Maxxam Labs Ltd."
"MBR","MB Research & Development Ltd."
"MEL","Env Lab - Modified by Field"
"MEM","Ministry of Energy and Mines"
"MF","Ministry of Environment Lab"
"MVQ","Metro Vancouver-Quality Control Lab"
"MX","Bureau Veritas Laboratories (Maxxam)"
"MXA","Maxxam Analytics Inc."
"MXC","Methanex Corp."
"NAL","Northern Analytical Lab Services"
"NE","Nautilus Environmental"
"NHL","Northern Laboratories"
"NIL","North Island Laboratories"
"NPM","Nickel Plate Mine - Assay Lab"
"NPT","Northwood Pulp and Timber"
"NS","Not specified"
"NSR","Norwest Soil Research Inc."
"NTL","National Lab for Environmental Testing"
"NWL","Norwest Labs (Edmonton)"
"NWP","Nanaimo Water Pollution Control Centre"
"OT","Independent Agent or Other"
"PCR","Petro-Canada - Port Moody Refinery"
"PE","Permittee"
"PEP","P.L."
"PGW","Prince George Wastewater Treatment Ctr"
"PLL","Passmore Laboratory Ltd."
"PS","Pacific Soils"
"PW","Paradox Water & Wastewater Treatment Co."
"PYLET","Environment Canada (PESC)"
"QRP","Quesnel River Pulp Co."
"QTL","Quanta Trace Laboratories"
"RPS","Radiation Protection Service"
"SAS","Seakem Analytical Services Ltd"
"SEH","UBC School of Environmental Health"
"SFU","SFU Earth Sciences"
"SGS","SGS Canada"
"SLL","Soilcon Laboratories Ltd."
"SLR","SLR Consulting (Canada) Ltd."
"SRC","Sona Resources Corp"
"SWA","UBC Soil Water and Air Labortory"
"SYL","SYLVIS Environmental Services"
"TRICH","Trich Analytics"
"UWAT","Kuncheng Zhao"
"VL","Volunteer"
"WA","Water Quality"
"WCE","Westcoast Energy S.P.D."
"WCT","Willis Cunliffe & Tait"
"WLL","Wood Laboratory Ltd."
"WSH","WSH Laboratories (1989) Ltd."
"WTL","Wellington Laboratories"
"ZN","Philip Analyt. Services (formerly Zenon)"
