"Observed Property ID","Unit Group","Default Unit","Supports Unit Conversion","EMS Code","Description","Result Type","Analysis Type","CAS Number"
"100258 - Sminthuridae","Count",NA,FALSE,"SMINTH","Common name: none, EMS Code(s): SMINTH, EMS Name(s): Sminthuridae","NUMERIC","BIOLOGICAL",NA
"10031 - Gymnodinium","Count",NA,FALSE,"GYMNOD","Common name: none, EMS Code(s): GYMNOD, EMS Name(s): Gymnodinium","NUMERIC","BIOLOGICAL",NA
"100376 - Sminthurus","Count",NA,FALSE,"SMITHU","Common name: none, EMS Code(s): SMITHU, EMS Name(s): Smithuridae","NUMERIC","BIOLOGICAL",NA
"100485 - Neelidae","Count",NA,FALSE,"NEELID","Common name: none, EMS Code(s): NEELID, EMS Name(s): Neelidae","NUMERIC","BIOLOGICAL",NA
"100502 - Ephemeroptera","Count",NA,FALSE,"EPHEME","Common name: mayflies, EMS Code(s): EPHEME, EMS Name(s): Ephemeroptera","NUMERIC","BIOLOGICAL",NA
"100504 - Heptageniidae","Count",NA,FALSE,"EP/IRO, HEPTAG","Common name: none, EMS Code(s): EP/IRO, HEPTAG, EMS Name(s): Epeorus/Ironoides, Heptageniidae","NUMERIC","BIOLOGICAL",NA
"100507 - Stenonema","Count",NA,FALSE,"STENON","Common name: none, EMS Code(s): STENON, EMS Name(s): Stenonema","NUMERIC","BIOLOGICAL",NA
"100557 - Cinygmula","Count",NA,FALSE,"CINYGM","Common name: none, EMS Code(s): CINYGM, EMS Name(s): Cinygmula","NUMERIC","BIOLOGICAL",NA
"100572 - Rhithrogena","Count",NA,FALSE,"RHITHR","Common name: none, EMS Code(s): RHITHR, EMS Name(s): Rhithrogena","NUMERIC","BIOLOGICAL",NA
"100598 - Cinygma","Count",NA,FALSE,"CINYG","Common name: none, EMS Code(s): CINYG, EMS Name(s): Cinygma","NUMERIC","BIOLOGICAL",NA
"100602 - Heptagenia","Count",NA,FALSE,"HEPNIA","Common name: none, EMS Code(s): HEPNIA, EMS Name(s): Heptagenia","NUMERIC","BIOLOGICAL",NA
"100626 - Epeorus","Count",NA,FALSE,"EPEORU","Common name: none, EMS Code(s): EPEORU, EMS Name(s): Epeorus","NUMERIC","BIOLOGICAL",NA
"100629 - Epeorus albertae","Count",NA,FALSE,"E.ALBE","Common name: none, EMS Code(s): E.ALBE, EMS Name(s): Epeorus albertae","NUMERIC","BIOLOGICAL",NA
"100632 - Epeorus deceptivus","Count",NA,FALSE,"E.DECE","Common name: none, EMS Code(s): E.DECE, EMS Name(s): Epeorus deceptivus","NUMERIC","BIOLOGICAL",NA
"100635 - Epeorus grandis","Count",NA,FALSE,"E.GRAG","Common name: none, EMS Code(s): E.GRAG, EMS Name(s): Epeorus grandis group","NUMERIC","BIOLOGICAL",NA
"100637 - Epeorus longimanus","Count",NA,FALSE,"E.LONG","Common name: none, EMS Code(s): E.LONG, EMS Name(s): Epeorus longimanus","NUMERIC","BIOLOGICAL",NA
"100666 - Ironodes","Count",NA,FALSE,"IRONOD","Common name: none, EMS Code(s): IRONOD, EMS Name(s): Ironodes","NUMERIC","BIOLOGICAL",NA
"100692 - Nixe","Count",NA,FALSE,"NIXE","Common name: none, EMS Code(s): NIXE, EMS Name(s): Nixe","NUMERIC","BIOLOGICAL",NA
"1007 - Phormidium ambiguum","Count",NA,FALSE,"P.AMBI","Common name: none, EMS Code(s): P.AMBI, EMS Name(s): Phormidium ambiguum","NUMERIC","BIOLOGICAL",NA
"100755 - Baetidae","Count",NA,FALSE,"BAETID","Common name: none, EMS Code(s): BAETID, EMS Name(s): Baetidae","NUMERIC","BIOLOGICAL",NA
"100800 - Baetis","Count",NA,FALSE,"BAETIS","Common name: none, EMS Code(s): BAETIS, EMS Name(s): Baetis","NUMERIC","BIOLOGICAL",NA
"100801 - Acentrella","Count",NA,FALSE,"ACENTR","Common name: none, EMS Code(s): ACENTR, EMS Name(s): Acentrella","NUMERIC","BIOLOGICAL",NA
"100817 - Baetis tricaudatus","Count",NA,FALSE,"B.TRIC, BTRICG","Common name: none, EMS Code(s): B.TRIC, BTRICG, EMS Name(s): Baetis tricaudatus, Baetis tricaudatus group","NUMERIC","BIOLOGICAL",NA
"100823 - Baetis bicaudatus","Count",NA,FALSE,"B.BICA, BFUSCG","Common name: none, EMS Code(s): B.BICA, BFUSCG, EMS Name(s): Baetis bicaudatus, Baetis fuscatus group","NUMERIC","BIOLOGICAL",NA
"100873 - Centroptilum","Count",NA,FALSE,"CENPTI","Common name: none, EMS Code(s): CENPTI, EMS Name(s): Centroptilum","NUMERIC","BIOLOGICAL",NA
"100908 - Callibaetis californicus","Count",NA,FALSE,"CALL.C","Common name: none, EMS Code(s): CALL.C, EMS Name(s): Callibaetis californicus","NUMERIC","BIOLOGICAL",NA
"100951 - Siphlonuridae","Count",NA,FALSE,"SIPHLO","Common name: none, EMS Code(s): SIPHLO, EMS Name(s): Siphlonuridae","NUMERIC","BIOLOGICAL",NA
"100982 - Parameletus","Count",NA,FALSE,"PARAML","Common name: none, EMS Code(s): PARAML, EMS Name(s): Parameletus","NUMERIC","BIOLOGICAL",NA
"100996 - Ameletus","Count",NA,FALSE,"AMELET, A.A98","Common name: none, EMS Code(s): AMELET, A.A98, EMS Name(s): Ameletus, Ameletus sp.A98","NUMERIC","BIOLOGICAL",NA
"101012 - Ameletus similior","Count",NA,FALSE,"A.SIMI","Common name: none, EMS Code(s): A.SIMI, EMS Name(s): Ameletus similior","NUMERIC","BIOLOGICAL",NA
"101074 - Ametropus","Count",NA,FALSE,"AMETR","Common name: none, EMS Code(s): AMETR, EMS Name(s): Ametropus","NUMERIC","BIOLOGICAL",NA
"101076 - Ametropus neavei","Count",NA,FALSE,"AMET.N","Common name: none, EMS Code(s): AMET.N, EMS Name(s): Ametropus neavei","NUMERIC","BIOLOGICAL",NA
