"Code","Name","Scope","Type"
"100001","100001, CITY OF FORT ST. JOHN",NA,"Authorization"
"100003","100003, WELLCO OPERATIONS INC. WELLCO ENERGY SERVICES","Hazardous Waste Management","Authorization"
"100004","100004, DEVON CANADA CORPORATION",NA,"Authorization"
"100006","100006, GREEN ISLAND ENERGY LTD.",NA,"Authorization"
"100007","100007, TALISMAN ENERGY INC.",NA,"Authorization"
"100008","100008, SKANSKA INTERNATIONAL CIVIL WORKS LIMITED",NA,"Authorization"
"100010","100010, SUNCOR ENERGY INC.",NA,"Authorization"
"100011","100011, SABRETOOTH ENERGY LTD.",NA,"Authorization"
"100012","100012, THE CORPORATION OF THE CITY OF NELSON",NA,"Authorization"
"100013","100013, Yoho Resources Inc.",NA,"Authorization"
"100016","100016, CANADIAN NATURAL RESOURCES",NA,"Authorization"
"100019","100019, Ridgeback Resources Inc",NA,"Authorization"
"100020","100020, SUNSHINE COAST REGIONAL DISTRICT","Municipal Sewage Management","Authorization"
"100021","100021, SUNSHINE COAST REGIONAL DISTRICT","Municipal Sewage Management","Authorization"
"100022","100022, ENCANA CORPORATION",NA,"Authorization"
"100023","100023, SUNSHINE COAST REGIONAL DISTRICT","Municipal Sewage Management","Authorization"
"100024","100024, DOUBLE M CONSTRUCTION LTD.","Municipal Sewage Management","Authorization"
"100025","100025, HAY U RANCH RESORT INC.","Municipal Sewage Management","Authorization"
"100026","100026, ANDERSON HOLDINGS LTD.","Municipal Sewage Management","Authorization"
"100028","100028, NANAIMO REGIONAL DISTRICT","Composting Operations","Authorization"
"100029","100029, CANADIAN NATURAL RESOURCES LIMITED",NA,"Authorization"
"100030","100030, CLOUTIER HOLDINGS INC.",NA,"Authorization"
"100031","100031, THE OWNERS, STRATA PLAN VIS 6911","Municipal Sewage Management","Authorization"
"100032","100032, SECURE WASTE INFRASTRUCTURE CORP.","Oil and Natural Gas Industry - Large","Authorization"
"100033","100033, THE CORPORATION OF THE DISTRICT OF NORTH COWICHAN","Municipal Sewage Management","Authorization"
"100036","100036, THE OWNERS, STRATA PLAN NES3681","Municipal Sewage Management","Authorization"
"100037","100037, NORTHRIVER MIDSTREAM INC.",NA,"Authorization"
"100040","100040, ENVIRONMENTAL 360 SOLUTIONS (BC) LTD.","Hazardous Waste Management","Authorization"
"100041","100041, PROEX ENERGY LTD.",NA,"Authorization"
"100042","100042, ALTERNA ENERGY INC.",NA,"Authorization"
"100043","100043, PROEX ENERGY LTD.",NA,"Authorization"
"100044","100044, BG International Limited",NA,"Authorization"
"100045","100045, Chamaelo Exploration Ltd.",NA,"Authorization"
"100046","100046, OPT Organic Power Technologies Ltd.",NA,"Authorization"
"100047","100047, CANADIAN NATURAL RESOURCES LTD.",NA,"Authorization"
"100051","100051, QUANTUM MURRAY FACILITIES LP","Hazardous Waste Management","Authorization"
"100052","100052, MARINE HARVEST CANADA INC.",NA,"Authorization"
"100053","100053, MARINE HARVEST CANADA INC.",NA,"Authorization"
"100054","100054, Kyuquot Seafoods Ltd.",NA,"Authorization"
"100055","100055, PETER KIEWIT SONS CO.",NA,"Authorization"
"100056","100056, EVR OPERATIONS LIMITED","Petroleum Storage","Authorization"
"100057","100057, Teck Coal Limited",NA,"Authorization"
"100058","100058, CANAF GROUP INC.",NA,"Authorization"
"100059","100059, SHUSWAP FALLS R.V. CLUB","Municipal Sewage Management","Authorization"
"100060","100060, DOMTAR INC.","Contaminated Site Contaminant Management","Authorization"
"100061","100061, COMPASS GROUP CANADA (BEAVER) LTD.","Municipal Solid Waste Management","Authorization"
"100063","100063, FRESHWATER FISHERIES SOCIETY OF BC","Aquaculture - Land-based Industry","Authorization"
"100064","100064, PETER KIEWIT SONS CO.",NA,"Authorization"
"100065","100065, THOMPSON-NICOLA REGIONAL DISTRICT","Burning or Incineration of Wood Residue","Authorization"
"100066","100066, NORDIC SPIRIT TIMBERWORKS INC.",NA,"Authorization"
"100067","100067, TOWN OF GOLDEN","Composting Operations","Authorization"
"100068","100068, MINISTRY OF AGRICULTURE AND LANDS",NA,"Authorization"
"100072","100072, KBL ENVIRONMENTAL LTD.","Hazardous Waste Management","Authorization"
"100073","100073, PROEX ENERGY LTD.",NA,"Authorization"
"100074","100074, PROEX ENERGY LTD.",NA,"Authorization"
"100075","100075, PROEX ENERGY LTD.",NA,"Authorization"
"100076","100076, PROEX ENERGY LTD.",NA,"Authorization"
"100077","100077, PROEX ENERGY LTD.",NA,"Authorization"
"100078","100078, PROEX ENERGY LTD.",NA,"Authorization"
"100079","100079, PROEX ENERGY LTD.",NA,"Authorization"
"100080","100080, PROEX ENERGY LTD.",NA,"Authorization"
"100081","100081, PROEX ENERGY LTD.",NA,"Authorization"
"100082","100082, CANADIAN NATURAL RESOURCES LIMITED",NA,"Authorization"
"100083","100083, PROEX ENERGY LTD.",NA,"Authorization"
"100084","100084, PROEX ENERGY LTD.",NA,"Authorization"
"100085","100085, PROEX ENERGY LTD.",NA,"Authorization"
"100086","100086, PROEX ENERGY LTD.",NA,"Authorization"
"100087","100087, PROEX ENERGY LTD.",NA,"Authorization"
"100088","100088, PROEX ENERGY LTD.",NA,"Authorization"
"100089","100089, PROEX ENERGY LTD.",NA,"Authorization"
"100090","100090, PETRO-CANADA",NA,"Authorization"
"100091","100091, SUNSHINE COAST REGIONAL DISTRICT","Municipal Sewage Management","Authorization"
"100092","100092, PETRO-CANADA OIL AND GAS",NA,"Authorization"
"100093","100093, FIEDLER BROS. CONTRACTING LTD.","Municipal Waste Incineration or Burning Industry","Authorization"
"100094","100094, SLR MANAGEMENT LTD.","Municipal Sewage Management","Authorization"
"100095","100095, 600835 B.C. LTD.","Municipal Sewage Management","Authorization"
"100096","100096, VILLAGE OF VALEMOUNT","Municipal Sewage Management","Authorization"
"100097","100097, PROEX ENERGY LTD.",NA,"Authorization"
"100098","100098, PROEX ENERGY LTD.",NA,"Authorization"
"100099","100099, NORTHPOINT ENERGY LTD.",NA,"Authorization"
"100103","100103, PROEX ENERGY LTD.",NA,"Authorization"
"100104","100104, PROEX ENERGY LTD.",NA,"Authorization"
"100105","100105, SUNCOR ENERGY INC.",NA,"Authorization"
"100106","100106, CANADIAN NATURAL RESOURCES LIMITED",NA,"Authorization"
"100107","100107, NORTHPOINT ENERGY LTD.",NA,"Authorization"
"100108","100108, CONOCOPHILLIPS CANADA LTD",NA,"Authorization"
"100109","100109, CONOCOPHILLIPS CANADA LTD",NA,"Authorization"
"100110","100110, SUNCOR ENERGY INC.",NA,"Authorization"
"100111","100111, Mancal Energy Inc.",NA,"Authorization"
"100112","100112, REDFERN RESOURCES LTD.",NA,"Authorization"
"100113","100113, MINISTRY OF FORESTS AND RANGE",NA,"Authorization"
"100115","100115, MINISTRY OF FORESTS AND RANGE",NA,"Authorization"
"100116","100116, STRAD CANADA INC.","Hazardous Waste Management","Authorization"
"100117","100117, PETER KIEWIT SONS CO.",NA,"Authorization"
"100118","100118, TALISMAN ENERGY INC.",NA,"Authorization"
"100119","100119, DEVON CANADA CORPORATION",NA,"Authorization"
"100120","100120, DEVON CANADA CORPORATION",NA,"Authorization"
"100121","100121, SUNCOR ENERGY INC.",NA,"Authorization"
"100122","100122, BAYTEX ENERGY LTD.",NA,"Authorization"
"100123","100123, PROEX ENERGY LTD.",NA,"Authorization"
"100124","100124, PROEX ENERGY LTD.",NA,"Authorization"
"100125","100125, PROEX ENERGY LTD.",NA,"Authorization"
"100126","100126, PROEX ENERGY LTD.",NA,"Authorization"
"100128","100128, PROEX ENERGY LTD.",NA,"Authorization"
"100129","100129, PROEX ENERGY LTD.",NA,"Authorization"
"100130","100130, PROEX ENERGY LTD.",NA,"Authorization"
"100131","100131, PROEX ENERGY LTD.",NA,"Authorization"
"100132","100132, PROEX ENERGY LTD.",NA,"Authorization"
"100133","100133, PROEX ENERGY LTD.",NA,"Authorization"
"100134","100134, REGIONAL DISTRICT OF EAST KOOTENAY","Municipal Solid Waste Management","Authorization"
"100135","100135, SUNCOR ENERGY PRODUCTS INC. SUNCOR ENERGY PRODUCTS PARTNERSHIP","Petroleum Storage","Authorization"
"100137","100137, GLENMORE VALLEY GREENHOUSES",NA,"Authorization"
"100138","100138, RIO TINTO ALCAN INC.","Metal Smelting, Iron and Steel Foundry and Metal Refining Industry","Authorization"
"100139","100139, TERRA ENERGY CORP.",NA,"Authorization"
"100140","100140, 0934110 B.C. LTD.","Municipal Sewage Management","Authorization"
"100142","100142, ENCANA CORPORATION",NA,"Authorization"
"100143","100143, YEKOOCHE FIRST NATION","Municipal Sewage Management","Authorization"
"100144","100144, Polar Star Canadian Oil and Gas, Inc.",NA,"Authorization"
