"Code","Name","Scope","Type"
"100148","100148, SKI LUMBER",NA,"Authorization"
"100149","100149, PROEX ENERGY LTD.",NA,"Authorization"
"100150","100150, PROEX ENERGY LTD.",NA,"Authorization"
"100151","100151, PROEX ENERGY LTD.",NA,"Authorization"
"100152","100152, PROEX ENERGY LTD.",NA,"Authorization"
"100153","100153, PROEX ENERGY LTD.",NA,"Authorization"
"100154","100154, PROEX ENERGY LTD.",NA,"Authorization"
"100155","100155, PROEX ENERGY LTD.",NA,"Authorization"
"100156","100156, PROEX ENERGY LTD.",NA,"Authorization"
"100157","100157, CANADIAN NATURAL RESOURCES LIMITED",NA,"Authorization"
"100158","100158, WESTWOLD VIEW FARMS","Composting Operations","Authorization"
"100159","100159, DEVON CANADA CORPORATION",NA,"Authorization"
"100160","100160, DEVON CANADA CORPORATION",NA,"Authorization"
"100161","100161, DEVON CANADA CORPORATION",NA,"Authorization"
"100162","100162, DEVON CANADA CORPORATION",NA,"Authorization"
"100163","100163, BG International Limited",NA,"Authorization"
"100164","100164, Duvernay Oil Corp.",NA,"Authorization"
"100165","100165, WHISPER CORWOOD LP CORWOOD TIMBER PRODUCTS",NA,"Authorization"
"100167","100167, MINISTRY OF LABOUR AND CITIZENS' SERVICES","Municipal Sewage Management","Authorization"
"100168","100168, CARIBOO REGIONAL DISTRICT","Municipal Solid Waste Management","Authorization"
"100169","100169, QUESNEL, CITY OF","Composting Operations","Authorization"
"100170","100170, GFL ENVIRONMENTAL SERVICES INC.","Hazardous Waste Management","Authorization"
"100171","100171, MERIT MINING CORP.",NA,"Authorization"
"100172","100172, Capital Regional District",NA,"Authorization"
"100173","100173, CANADIAN MOUNTAIN HOLIDAYS INC.","Municipal Sewage Management","Authorization"
"100174","100174, MACNUTT ENTERPRISES LTD.","Composting Operations","Authorization"
"100175","100175, WYNDLOW WOOD WASTE REDUCTION INC.",NA,"Authorization"
"100176","100176, CAPITAL REGIONAL DISTRICT","Composting Operations","Authorization"
"100177","100177, MACNUTT ENTERPRISES LTD.","Composting Operations","Authorization"
"100178","100178, FOENIX FOREST TECHNOLOGY INC.","Composting Operations","Authorization"
"100179","100179, Earthman Contracting Ltd.",NA,"Authorization"
"100180","100180, Terry Michell - DBA MICHELL FARMS MICHELL FARMS","Composting Operations","Authorization"
"100181","100181, Sooke Disposal Ltd.",NA,"Authorization"
"100182","100182, HAULMOR SAND & GRAVEL LTD.","Composting Operations","Authorization"
"100183","100183, UNIVERSITY OF VICTORIA",NA,"Authorization"
"100184","100184, ANDIAMO INVESTMENTS LTD.","Composting Operations","Authorization"
"100185","100185, EARTHBANK RESOURCE SYSTEMS LTD.",NA,"Authorization"
"100186","100186, COAST (V.I.) ENVIRONMENTAL LTD.",NA,"Authorization"
"100187","100187, DOIG RIVER FIRST NATION","Municipal Sewage Management","Authorization"
"100188","100188, SUNCOR ENERGY INC.",NA,"Authorization"
"100189","100189, DEVON CANADA CORPORATION",NA,"Authorization"
"100192","100192, THE OWNERS, STRATA PLAN EPS234","Municipal Sewage Management","Authorization"
"100193","100193, GFL ENVIRONMENTAL INC.","Municipal Solid Waste Management","Authorization"
"100194","100194, THE CORPORATION OF THE VILLAGE OF BURNS LAKE",NA,"Authorization"
"100195","100195, Metro Vancouver Regional District",NA,"Authorization"
"100196","100196, SUMAS LAKE AQUAFARM LTD.","Aquaculture - Land-based Industry","Authorization"
"100199","100199, ICEC Terminals Company Ltd.",NA,"Authorization"
"100200","100200, TRUDEAU'S CUSTOM CUTTING LTD.","Wood Processing Industry - Primary","Authorization"
"100201","100201, THE SUNSHINE VALLEY GOOD EARTH COMPANY LTD.","Composting Operations","Authorization"
"100202","100202, NARAMATA DEVELOPMENT CORP.","Municipal Sewage Management","Authorization"
"100203","100203, WESTWOOD FIBRE LTD.",NA,"Authorization"
"100205","100205, CANADIAN NATURAL RESOURCES LIMITED",NA,"Authorization"
"100206","100206, REGIONAL DISTRICT OF FRASER-FORT GEORGE","Municipal Solid Waste Management","Authorization"
"100207","100207, CANADIAN NATURAL RESOURCES LIMITED","Hazardous Waste Management","Authorization"
"100208","100208, DEVON CANADA CORPORATION",NA,"Authorization"
"100209","100209, VILLAGE OF NAKUSP","Municipal Sewage Management","Authorization"
"100210","100210, DEVON CANADA CORPORATION",NA,"Authorization"
"100211","100211, TALISMAN ENERGY INC.",NA,"Authorization"
"100213","100213, TERUS CONSTRUCTION LTD. SELKIRK PAVING","Asphalt Plant Industry","Authorization"
"100214","100214, BP CANADA ENERGY COMPANY",NA,"Authorization"
"100217","100217, Magnacharge Battery Corporation",NA,"Authorization"
"100218","100218, CITY OF SALMON ARM","Municipal Sewage Management","Authorization"
"100219","100219, MOUNTAIN SHORES DEVELOPMENT CORPORATION",NA,"Authorization"
"100222","100222, Jim Johnson",NA,"Authorization"
"100223","100223, NEW GOLD INC.","Mining and Coal Mining Industry","Authorization"
"100224","100224, NEW GOLD INC.","Mining and Coal Mining Industry","Authorization"
"100225","100225, Karl Rainer - DBA RAINER CUSTOM CUTTING RAINER CUSTOM CUTTING","Composting Operations","Authorization"
"100226","100226, Denford Sanitary Services Ltd.",NA,"Authorization"
"100227","100227, NORTHPOINT ENERGY LTD.",NA,"Authorization"
"100229","100229, PINNACLE RENEWABLE ENERGY INC.","Wood Processing Industry - Secondary","Authorization"
"100230","100230, LONDON ENTERPRISES LIMITED SONORA RESORT","Municipal Sewage Management","Authorization"
"100231","100231, PETER KIEWIT SONS CO.",NA,"Authorization"
"100232","100232, DOUGLAS LAKE CATTLE COMPANY","Municipal Sewage Management","Authorization"
"100236","100236, NORTHPOINT ENERGY LTD.",NA,"Authorization"
"100237","100237, SUNCOR ENERGY INC.",NA,"Authorization"
"100238","100238, Upper Lake Oil and Gas Ltd.",NA,"Authorization"
"100241","100241, City of Kamloops",NA,"Authorization"
"100242","100242, CM RECYCLING LTD. CARIBOO METAL RECYCLING","Hazardous Waste Management","Authorization"
"100244","100244, CITY OF TRAIL",NA,"Authorization"
"100245","100245, GRIEG SEAFOOD B.C. LTD.",NA,"Authorization"
"100247","100247, SEABRIDGE GOLD INC.",NA,"Authorization"
"100248","100248, GOOD HOPE CANNERY LTD.","Municipal Sewage Management","Authorization"
"100249","100249, SHEARWATER FUEL GENERAL PARTNER LTD. SHEARWATER FUEL","Municipal Sewage Management","Authorization"
"100251","100251, PARK LANE RIVER DISTRICT DEVELOPMENTS LTD.","Wood Processing Industry - Primary","Authorization"
"100252","100252, CANADIAN NATURAL RESOURCES LIMITED",NA,"Authorization"
"100253","100253, POWER PAVING LTD.",NA,"Authorization"
"100255","100255, TALISMAN ENERGY INC.",NA,"Authorization"
"100256","100256, VILLAGE OF CACHE CREEK","Municipal Sewage Management","Authorization"
"100257","100257, PEACE RIVER COAL INC.","Municipal Sewage Management","Authorization"
"100259","100259, RIO TINTO ALCAN INC.",NA,"Authorization"
"100262","100262, 583021 B.C. LTD. WESTSIDE USED AUTO PARTS","Vehicle Dismantling and Recycling Industry","Authorization"
"100263","100263, Active Auto Wreckers Ltd.",NA,"Authorization"
"100264","100264, BEE JAY AUTO WRECKING & TOWING LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100265","100265, A-GATEWAY AUTOWRECKING LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100266","100266, ERNEST A. MAXWELL ENTERPRISES LTD. MAXWELLS NEW & USED AUTO & TRUCK PARTS","Vehicle Dismantling and Recycling Industry","Authorization"
"100267","100267, Kenneth Salter - DBA FREEPORT 2550 FREEPORT 2550","Municipal Sewage Management","Authorization"
"100268","100268, COLDSTREAM TRUCK PARTS LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100269","100269, STAVE FALLS AUTO WRECKING LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100270","100270, Empire Used Auto Parts (Kamloops) Ltd.",NA,"Authorization"
"100271","100271, EMPIRE USED AUTO PARTS (KAMLOOPS) LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100272","100272, B.C. AUTO WRECKING LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100273","100273, CHAPMAN MOTORS LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100274","100274, COAST IMPORT WRECKING LTD. COAST IMPORT AUTO SUPPLY","Vehicle Dismantling and Recycling Industry","Authorization"
"100276","100276, REMPEL BROS. CONCRETE LTD.",NA,"Authorization"
"100277","100277, Anchor Used Auto Parts",NA,"Authorization"
"100278","100278, The Owners, Strata Plan EPS517",NA,"Authorization"
"100279","100279, HARRIS AUTOWRECKING LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100280","100280, CEE GEE'S AUTO WRECKING LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100281","100281, 444978 B.C. LTD. COMOX VALLEY AUTO RECYCLE","Vehicle Dismantling and Recycling Industry","Authorization"
"100282","100282, ERNIE'S TOWING INC. ERNIE'S USED AUTO PARTS","Vehicle Dismantling and Recycling Industry","Authorization"
"100283","100283, FARBROOK AUTO WRECKING (1979) LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100284","100284, Interior Auto Wrecking (1969) Ltd.",NA,"Authorization"
"100285","100285, SIDLEY MOUNTAIN AUTO","Vehicle Dismantling and Recycling Industry","Authorization"
"100286","100286, PRINCE GEORGE AUTO WRECKING LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100287","100287, WANETA AUTO RECYCLERS","Vehicle Dismantling and Recycling Industry","Authorization"
"100288","100288, NORTH CENTRAL TRUCK PARTS LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100289","100289, A-STAR AUTOMOTIVE RECYCLERS LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100290","100290, BEN'S TOWING & AUTO WRECKING LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100291","100291, ELCAM AUTO RECYCLERS LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100292","100292, Empire Used Auto Parts (Nanaimo) Ltd.",NA,"Authorization"
"100293","100293, SHERWOOD AUTO PARTS LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100294","100294, VAN AUTO WRECKING LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100295","100295, Ryll Enterprises Ltd. doing business as
A-1 Auto Salvage",NA,"Authorization"
"100296","100296, SMOKEY CREEK SALVAGE LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100298","100298, 0778707 B.C. LTD. BIMMER PARTS","Vehicle Dismantling and Recycling Industry","Authorization"
"100299","100299, VIANI HOLDINGS LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100300","100300, KITIMAT AUTOMOTIVE RECYCLING, LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100301","100301, POWERHOUSE RECYCLED AUTO & TRUCK PARTS LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100302","100302, MALAHAT AUTO PARTS LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100303","100303, 402530 B.C. LTD. HIGHWAY 4 AUTO SALVAGE","Vehicle Dismantling and Recycling Industry","Authorization"
"100304","100304, MAPLE RIDGE AUTO AND METAL RECYCLING LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100305","100305, ANNEX AUTO PARTS (1997) LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100306","100306, FN 99 NEW AND USED AUTO PARTS LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100307","100307, 0775579 B.C. LTD. HOPE IMPORT AUTO PARTS & AUTO SALES","Vehicle Dismantling and Recycling Industry","Authorization"
"100308","100308, B. & E. AUTO SUPPLY (1992) LTD. MITCHELL AUTO SALVAGE","Vehicle Dismantling and Recycling Industry","Authorization"
"100309","100309, UNIVERSAL AUTO WRECKERS LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100310","100310, BLACKY'S AUTO RECYCLING LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100311","100311, 0912781 B.C. LTD. ALPI'S EUROPEAN USED AUTO PARTS","Vehicle Dismantling and Recycling Industry","Authorization"
"100312","100312, WILSONS WHEELS & TRUCK PARTS LTD. WHEELS TRUCK PARTS","Vehicle Dismantling and Recycling Industry","Authorization"
"100313","100313, GARY'S AUTO WRECKING & SALVAGE LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100314","100314, RIVERSHORE USED AUTO PARTS (1992) LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100315","100315, A. KAMLOOPS USED TRUCK & AUTO PARTS (1989) LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100316","100316, CARIBOO TOWING & AUTO PARTS (1988)","Vehicle Dismantling and Recycling Industry","Authorization"
"100317","100317, SICAMOUS AUTO RECYCLING (1999) 4-C SALES","Vehicle Dismantling and Recycling Industry","Authorization"
"100318","100318, D & M USED AUTO PARTS LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100319","100319, D & M USED AUTO PARTS LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100320","100320, PROEX ENERGY LTD.",NA,"Authorization"
"100321","100321, PROEX ENERGY LTD.",NA,"Authorization"
"100324","100324, EVR OPERATIONS LIMITED","Petroleum Storage","Authorization"
"100325","100325, COOPER'S USED AUTO PARTS LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100326","100326, Schnitzer Steel Pacific, Inc. doing business as
Steel Pacific Recycling (A Schnitzer Company)",NA,"Authorization"
"100327","100327, SCHNITZER STEEL CANADA LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100328","100328, Schnitzer Steel Pacific, Inc. doing business as
Steel Pacific Recycling (A Schnitzer Company)",NA,"Authorization"
"100329","100329, SCHNITZER STEEL CANADA LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100330","100330, OLIVER RECYCLING & SALVAGE","Vehicle Dismantling and Recycling Industry","Authorization"
"100331","100331, Alantra Enterprises Inc.",NA,"Authorization"
"100332","100332, RODEAR MEATS LTD.",NA,"Authorization"
"100333","100333, Tower Ready Mix Ltd.",NA,"Authorization"
"100334","100334, Northwest Used Auto Parts Ltd.",NA,"Authorization"
"100335","100335, Country Auto Recycling Inc.",NA,"Authorization"
"100336","100336, PAYLESS REPAIRS LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100337","100337, A-COMBINED AUTO WRECKING (1984) LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100338","100338, SANCA CREEK BEACH RESORT COOPERATIVE ASSOCIATION","Municipal Sewage Management","Authorization"
"100339","100339, AFFORDABLE AUTO PARTS LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100340","100340, NORTHWEST USED AUTO PARTS (RICHMOND) LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100341","100341, Coal Town Auto Wrecking (2004) Ltd.",NA,"Authorization"
"100342","100342, A LINE AUTO PARTS LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100343","100343, BELSUM ENTERPRISES LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100344","100344, Action Auto Wrecking (1984) Ltd.",NA,"Authorization"
"100345","100345, 624734 B.C. LTD. K & G AUTO RECYCLING","Vehicle Dismantling and Recycling Industry","Authorization"
"100346","100346, J.K JAPANESE USED & NEW AUTO PARTS LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100347","100347, PETER KIEWIT SONS CO.",NA,"Authorization"
"100348","100348, A.A. ATLAS AUTO WRECKING LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100349","100349, Ken's Japanese Used Auto Parts Ltd.",NA,"Authorization"
"100350","100350, PINNACLE PELLET MEADOWBANK INC.",NA,"Authorization"
"100352","100352, Mid-Island Used Auto Parts Ltd.",NA,"Authorization"
"100353","100353, 460863 B.C. Ltd. doing business as
Canadian 4x4",NA,"Authorization"
"100354","100354, CANADIAN NATURAL RESOURCES LIMITED","Municipal Sewage Management","Authorization"
"100355","100355, BG International Limited",NA,"Authorization"
"100356","100356, PROEX ENERGY LTD.",NA,"Authorization"
"100357","100357, Apple Valley Used Auto Parts",NA,"Authorization"
"100358","100358, PROGRESS ENERGY LTD.",NA,"Authorization"
"100359","100359, PROEX ENERGY LTD.",NA,"Authorization"
"100360","100360, PETER KIEWIT SONS CO.",NA,"Authorization"
"100361","100361, WADE'S AUTO WRECKING LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100362","100362, PROEX ENERGY LTD.",NA,"Authorization"
"100363","100363, CAPT'N CRUNCH AUTO WRECKING LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100364","100364, COLAS WESTERN CANADA INC. TERUS CONSTRUCTION","Concrete and Concrete Products IndustryCode of Practice for the Concrete and Concrete Products Industry","Authorization"
"100365","100365, DUKE POINT AUTO RECYCLERS LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100366","100366, PROEX ENERGY LTD.",NA,"Authorization"
"100367","100367, SURESPAN READY MIX LTD","Concrete and Concrete Products IndustryCode of Practice for the Concrete and Concrete Products Industry","Authorization"
"100368","100368, LANGLEY DISCOUNT USED AUTO & TRUCK PARTS LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100369","100369, 638465 B.C. Ltd. doing business as
SRM Concrete Ltd.",NA,"Authorization"
"100370","100370, PROEX ENERGY LTD.",NA,"Authorization"
"100371","100371, GENERIC TOWING & AUTO PARTS LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100372","100372, MINISTRY OF FORESTS AND RANGE",NA,"Authorization"
"100373","100373, Interoute Construction Ltd. doing business as
H & J Ready Mix",NA,"Authorization"
"100374","100374, Fern Rowe - DBA WARRENS WORLD OF USED AUTO PARTS WARRENS WORLD OF USED AUTO PARTS","Vehicle Dismantling and Recycling Industry","Authorization"
"100375","100375, United Rentals of Canada, Inc.",NA,"Authorization"
"100376","100376, COLAS WESTERN CANADA INC. TERUS CONSTRUCTION","Concrete and Concrete Products IndustryCode of Practice for the Concrete and Concrete Products Industry","Authorization"
"100377","100377, GRAVEL HILL SUPPLIES LTD. READYMIX CONCRETE","Concrete and Concrete Products IndustryCode of Practice for the Concrete and Concrete Products Industry","Authorization"
"100378","100378, Mountain High Truck & Body Ltd.",NA,"Authorization"
"100379","100379, BUTLER BROTHERS SUPPLIES LTD. READYMIX CONCRETE","Concrete and Concrete Products IndustryCode of Practice for the Concrete and Concrete Products Industry","Authorization"
"100380","100380, REID'S AUTOMOTIVE RECYCLING LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100381","100381, NORTHGATE INDUSTRIES LTD.","Municipal Sewage Management","Authorization"
"100382","100382, TOM CAT AUTO-RECYCLING LTD.","Vehicle Dismantling and Recycling Industry","Authorization"
"100383","100383, BUTLER BROTHERS SUPPLIES LTD. READYMIX CONCRETE","Concrete and Concrete Products IndustryCode of Practice for the Concrete and Concrete Products Industry","Authorization"
"100384","100384, BUTLER BROTHERS SUPPLIES LTD. READYMIX CONCRETE","Concrete and Concrete Products IndustryCode of Practice for the Concrete and Concrete Products Industry","Authorization"
"100385","100385, Corvette Holdings Ltd.",NA,"Authorization"
"100386","100386, Seymour Pacific Developments Ltd.",NA,"Authorization"
