"Code","Name","Supports Unit Conversion","Unit Group"
"MPN/100g","Most Probable Number per 100 gram",FALSE,"MicrobialFormation"
"MPN/g","Most Probable Number per gram",FALSE,"MicrobialFormation"
"Unknown","Unknown",FALSE,"None"
"None","None",FALSE,"None"
"umol/g","Micromoles per gram",TRUE,"ParticlesPerMass"
"kg/adt","Kilograms per Air Dried Tonne",FALSE,"PerAirDriedTonne"
"kg/adut","Kilograms per Air Dried Unbleached Tonne",FALSE,"PerAirDriedTonne"
"MW","Megawatts",TRUE,"Power"
"kPa","Kilopascals",TRUE,"Pressure"
"mm Hg","Millimetres of Hg @0C",TRUE,"Pressure"
"Bq/L","Becquerels per litre",FALSE,"Radioactivity"
"feet","Elevation/Depth",TRUE,"SYS-REQUIRED - Length"
"metre","Elevation/Depth",TRUE,"SYS-REQUIRED - Length"
"degF","Degrees Fahrenheit",TRUE,"Temperature"
"degC","Degrees Celsius",TRUE,"Temperature"
"minute","Minutes",TRUE,"Time"
"month","Months",TRUE,"Time"
"hr","Hours",TRUE,"Time"
"day","Days",TRUE,"Time"
"JTU","Jackson Turbidity Units",FALSE,"Turbidity"
"NTU","Nephelometric Turbidity Units",FALSE,"Turbidity"
"USG","US gallons",TRUE,"Volume"
"ft3","Cubic feet",TRUE,"Volume"
"cm3","Cubic centimetres",TRUE,"Volume"
"L","Litres",TRUE,"Volume"
"m3","Cubic metres",TRUE,"Volume"
"mL","Millilitres",TRUE,"Volume"
"uL/mL","Microlitres per millilitre",TRUE,"VolumePerVolume"
"mL/L","Millilitres per litre",TRUE,"VolumePerVolume"
