"Scientific Name","Common Name","ITIS TSN"
"Cottus","Fresh Water Sculpin","167229"
"Oncorhynchus clarkii","Cutthroat Trout","161983"
"Oncorhynchus kisutch","Coho Salmon","161977"
"Oncorhynchus nerka","Sockeye Salmon","161979"
"Salvelinus malma","Dolly Varden","162000"
